Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo,Estadio
Fecha 1,31 de Julio,Once Caldas,1  -  2,Pereira,2004,Finalización,
Fecha 1,1 de agosto,Junior,4  -  0,Bogotá Chicó,2004,Finalización,
Fecha 1,1 de agosto,Deportes Quindío,0  -  2,América,2004,Finalización,
Fecha 1,1 de agosto,Santa Fe,3  -  1,Pasto,2004,Finalización,
Fecha 1,1 de agosto,Huila,1  -  0,Nacional,2004,Finalización,
Fecha 1,1 de agosto,Cortuluá,1  -  0,Millonarios,2004,Finalización,
Fecha 1,1 de agosto,Bucaramanga,2  -  1,Unión Magdalena,2004,Finalización,
Fecha 1,1 de agosto,Cali,1  -  0,Envigado F. C.,2004,Finalización,
Fecha 1,1 de agosto,Medellín,0  -  1,Tolima,2004,Finalización,
Fecha 1,7 de febrero,Millonarios,2  -  0,Cortuluá,2004,Apertura,
Fecha 1,8 de febrero,Bogotá Chicó,1  -  1,Junior,2004,Apertura,
Fecha 1,8 de febrero,Pasto,1  -  0,Santa Fe,2004,Apertura,
Fecha 1,8 de febrero,América,4  -  0,Deportes Quindío,2004,Apertura,
Fecha 1,8 de febrero,Envigado F. C.,1  -  1,Cali,2004,Apertura,
Fecha 1,8 de febrero,Unión Magdalena,0  -  0,Bucaramanga,2004,Apertura,
Fecha 1,8 de febrero,Pereira,1  -  1,Once Caldas,2004,Apertura,
Fecha 1,8 de febrero,Nacional,4  -  0,Huila,2004,Apertura,
Fecha 1,8 de febrero,Tolima,0  -  0,Medellín,2004,Apertura,
Fecha 10,19 de septiembre,América,2  -  1,Pereira,2004,Finalización,
Fecha 10,19 de septiembre,Nacional,2  -  0,Tolima,2004,Finalización,
Fecha 10,19 de septiembre,Pasto,0  -  0,Millonarios,2004,Finalización,
Fecha 10,19 de septiembre,Bogotá Chicó,1  -  0,Unión Magdalena,2004,Finalización,
Fecha 10,19 de septiembre,Deportes Quindío,1  -  1,Envigado F. C.,2004,Finalización,
Fecha 10,19 de septiembre,Junior,0  -  3,Cali,2004,Finalización,
Fecha 10,19 de septiembre,Santa Fe,1  -  1,Bucaramanga,2004,Finalización,
Fecha 10,19-09,Huila,1  -  0,Cortuluá,2004,Finalización,
Fecha 10,19-09,Once Caldas,0  -  0,Medellín,2004,Finalización,
Fecha 10,4 de abril,Pereira,1  -  0,América,2004,Apertura,
Fecha 10,4 de abril,Medellín,2  -  0,Once Caldas,2004,Apertura,
Fecha 10,4 de abril,Cortuluá,1  -  1,Huila,2004,Apertura,
Fecha 10,4 de abril,Bucaramanga,4  -  0,Santa Fe,2004,Apertura,
Fecha 10,4 de abril,Unión Magdalena,2  -  3,Bogotá Chicó,2004,Apertura,
Fecha 10,4 de abril,Tolima,2  -  2,Nacional,2004,Apertura,
Fecha 10,4 de abril,Cali,0  -  0,Junior,2004,Apertura,
Fecha 10,5 de abril,Millonarios,5  -  3,Pasto,2004,Apertura,
Fecha 10,5 de abril,Envigado F. C.,1  -  2,Deportes Quindío,2004,Apertura,
Fecha 11,22-09,Once Caldas,3  -  0,América,2004,Finalización,
Fecha 11,22-09,Medellín,1  -  0,Huila,2004,Finalización,
Fecha 11,22 de septiembre,Cortuluá,3  -  1,Santa Fe,2004,Finalización,
Fecha 11,22 de septiembre,Bucaramanga,0  -  1,Junior,2004,Finalización,
Fecha 11,22 de septiembre,Cali,3  -  0,Deportes Quindío,2004,Finalización,
Fecha 11,22 de septiembre,Envigado F. C.,1  -  0,Bogotá Chicó,2004,Finalización,
Fecha 11,22 de septiembre,Unión Magdalena,1  -  0,Pasto,2004,Finalización,
Fecha 11,22 de septiembre,Millonarios,1  -  1,Nacional,2004,Finalización,
Fecha 11,22 de septiembre,Tolima,0  -  1,Pereira,2004,Finalización,
Fecha 11,10 de abril,Santa Fe,1  -  1,Cortuluá,2004,Apertura,
Fecha 11,10 de abril,Nacional,1  -  1,Millonarios,2004,Apertura,
Fecha 11,11 de abril,Pereira,2  -  2,Tolima,2004,Apertura,
Fecha 11,11 de abril,América,1  -  0,Once Caldas,2004,Apertura,
Fecha 11,11 de abril,Huila,0  -  1,Medellín,2004,Apertura,
Fecha 11,11 de abril,Bogotá Chicó,1  -  0,Envigado F. C.,2004,Apertura,
Fecha 11,11 de abril,Junior,1  -  1,Bucaramanga,2004,Apertura,
Fecha 11,11 de abril,Deportes Quindío,1  -  1,Cali,2004,Apertura,
Fecha 11,11 de abril,Pasto,2  -  0,Unión Magdalena,2004,Apertura,
Fecha 12,26 de septiembre,América,3  -  3,Tolima,2004,Finalización,
Fecha 12,26 de septiembre,Pereira,0  -  2,Millonarios,2004,Finalización,
Fecha 12,26 de septiembre,Nacional,0  -  0,Unión Magdalena,2004,Finalización,
Fecha 12,26 de septiembre,Pasto,1  -  1,Envigado F. C.,2004,Finalización,
Fecha 12,26 de septiembre,Bogotá Chicó,1  -  2,Cali,2004,Finalización,
Fecha 12,26 de septiembre,Deportes Quindío,2  -  0,Bucaramanga,2004,Finalización,
Fecha 12,26 de septiembre,Junior,0  -  2,Cortuluá,2004,Finalización,
Fecha 12,26-09,Santa Fe,2  -  1,Medellín,2004,Finalización,
Fecha 12,26-09,Huila,3  -  0,Once Caldas,2004,Finalización,
Fecha 12,14 de abril,Millonarios,2  -  1,Pereira,2004,Apertura,
Fecha 12,14 de abril,Unión Magdalena,2  -  3,Nacional,2004,Apertura,
Fecha 12,14 de abril,Envigado F. C.,0  -  0,Pasto,2004,Apertura,
Fecha 12,14 de abril,Cali,4  -  2,Bogotá Chicó,2004,Apertura,
Fecha 12,14 de abril,Bucaramanga,1  -  0,Deportes Quindío,2004,Apertura,
Fecha 12,14 de abril,Cortuluá,1  -  2,Junior,2004,Apertura,
Fecha 12,14 de abril,Medellín,1  -  2,Santa Fe,2004,Apertura,
Fecha 12,22 de abril,Once Caldas,4  -  0,Huila,2004,Apertura,
Fecha 12,22 de abril,Tolima,2  -  1,América,2004,Apertura,
Fecha 13,3 de octubre,Huila,0  -  1,América,2004,Finalización,
Fecha 13,3 de octubre,Once Caldas,1  -  1,Santa Fe,2004,Finalización,
Fecha 13,3 de octubre,Medellín,2  -  2,Junior,2004,Finalización,
Fecha 13,3 de octubre,Cortuluá,1  -  0,Deportes Quindío,2004,Finalización,
Fecha 13,3 de octubre,Bucaramanga,0  -  0,Bogotá Chicó,2004,Finalización,
Fecha 13,3 de octubre,Cali,2  -  0,Pasto,2004,Finalización,
Fecha 13,3 de octubre,Envigado F.C,2  -  1,Nacional,2004,Finalización,
Fecha 13,3 de octubre,Unión Magdalena,1  -  0,Pereira,2004,Finalización,
Fecha 13,3 de octubre,Millonarios,2  -  1,Tolima,2004,Finalización,
Fecha 13,18 de abril,Santa Fe,2  -  2,Once Caldas,2004,Apertura,
Fecha 13,18 de abril,América,2  -  1,Huila,2004,Apertura,
Fecha 13,18 de abril,Pereira,4  -  1,Unión Magdalena,2004,Apertura,
Fecha 13,18 de abril,Pasto,0  -  1,Cali,2004,Apertura,
Fecha 13,18 de abril,Tolima,2  -  0,Millonarios,2004,Apertura,
Fecha 13,18 de abril,Bogotá Chicó,3  -  1,Bucaramanga,2004,Apertura,
Fecha 13,18 de abril,Deportes Quindío,1  -  0,Cortuluá,2004,Apertura,
Fecha 13,18 de abril,Nacional,2  -  1,Envigado F. C.,2004,Apertura,
Fecha 13,18 de abril,Junior,5  -  0,Medellín,2004,Apertura,
Fecha 14,15 de octubre,América,1  -  0,Millonarios,2004,Finalización,
Fecha 14,17 de octubre,Bogotá Chicó,1  -  2,Cortuluá,2004,Finalización,
Fecha 14,17 de octubre,Tolima,1  -  0,Unión Magdalena,2004,Finalización,
Fecha 14,17 de octubre,Santa Fe,2  -  1,Huila,2004,Finalización,
Fecha 14,17 de octubre,Nacional,3  -  1,Cali,2004,Finalización,
Fecha 14,17 de octubre,Pereira,1  -  0,Envigado F.C,2004,Finalización,
Fecha 14,17 de octubre,Deportes Quindío,1  -  0,Medellín,2004,Finalización,
Fecha 14,17 de octubre,Junior,1  -  4,Once Caldas,2004,Finalización,
Fecha 14,17 de octubre,Pasto,1  -  1,Bucaramanga,2004,Finalización,
Fecha 14,24 de abril,Once Caldas,2  -  1,Junior,2004,Apertura,
Fecha 14,25 de abril,Medellín,3  -  0,Deportes Quindío,2004,Apertura,
Fecha 14,25 de abril,Unión Magdalena,0  -  1,Tolima,2004,Apertura,
Fecha 14,25 de abril,Bucaramanga,1  -  0,Pasto,2004,Apertura,
Fecha 14,25 de abril,Cortuluá,1  -  2,Bogotá Chicó,2004,Apertura,
Fecha 14,25 de abril,Huila,1  -  3,Santa Fe,2004,Apertura,
Fecha 14,25 de abril,Envigado,3  -  1,Pereira,2004,Apertura,
Fecha 14,25 de abril,Cali,2  -  0,Nacional,2004,Apertura,
Fecha 14,25 de abril,Millonarios,0  -  2,América,2004,Apertura,
Fecha 15,24 de octubre,Santa Fe,0  -  2,América,2004,Finalización,
Fecha 15,24 de octubre,Huila,1  -  1,Junior,2004,Finalización,
Fecha 15,24 de octubre,Once Caldas,6  -  1,Deportes Quindío,2004,Finalización,
Fecha 15,24 de octubre,Medellín,1  -  0,Bogotá Chicó,2004,Finalización,
Fecha 15,24 de octubre,Cortuluá,0  -  0,Pasto,2004,Finalización,
Fecha 15,24 de octubre,Bucaramanga,1  -  0,Nacional,2004,Finalización,
Fecha 15,24 de octubre,Cali,2  -  0,Pereira,2004,Finalización,
Fecha 15,24 de octubre,Envigado F. C.,1  -  2,Tolima,2004,Finalización,
Fecha 15,24 de octubre,Unión Magdalena,1  -  0,Millonarios,2004,Finalización,
Fecha 15,2 de mayo,Pereira,0  -  1,Cali,2004,Apertura,
Fecha 15,2 de mayo,Nacional,2  -  1,Bucaramanga,2004,Apertura,
Fecha 15,2 de mayo,América,1  -  0,Santa Fe,2004,Apertura,
Fecha 15,2 de mayo,Junior,3  -  1,Huila,2004,Apertura,
Fecha 15,2 de mayo,Deportes Quindío,0  -  0,Once Caldas,2004,Apertura,
Fecha 15,2 de mayo,Bogotá Chicó,0  -  0,Medellín,2004,Apertura,
Fecha 15,2 de mayo,Pasto,1  -  1,Cortuluá,2004,Apertura,
Fecha 15,2 de mayo,Tolima,2  -  1,Envigado F. C.,2004,Apertura,
Fecha 15,2 de mayo,Millonarios,1  -  0,Unión Magdalena,2004,Apertura,
Fecha 16,27 de octubre,América,3  -  0,Unión Magdalena,2004,Finalización,
Fecha 16,27 de octubre,Millonarios,3  -  0,Envigado F. C.,2004,Finalización,
Fecha 16,27 de octubre,Tolima,2  -  1,Cali,2004,Finalización,
Fecha 16,27 de octubre,Pereira,1  -  2,Bucaramanga,2004,Finalización,
Fecha 16,27 de octubre,Nacional,2  -  0,Cortuluá,2004,Finalización,
Fecha 16,27 de octubre,Pasto,1  -  2,Medellín,2004,Finalización,
Fecha 16,27 de octubre,Bogotá Chicó,1  -  0,Once Caldas,2004,Finalización,
Fecha 16,27 de octubre,Deportes Quindío,2  -  0,Huila,2004,Finalización,
Fecha 16,27 de octubre,Junior,2  -  0,Santa Fe,2004,Finalización,
Fecha 16,9 de mayo,Unión Magdalena,3  -  2,América,2004,Apertura,
Fecha 16,9 de mayo,Cortuluá,3  -  2,Nacional,2004,Apertura,
Fecha 16,9 de mayo,Cali,1  -  0,Tolima,2004,Apertura,
Fecha 16,9 de mayo,Santa Fe,1  -  0,Junior,2004,Apertura,
Fecha 16,9 de mayo,Medellín,3  -  1,Pasto,2004,Apertura,
Fecha 16,9 de mayo,Bucaramanga,1  -  0,Pereira,2004,Apertura,
Fecha 16,9 de mayo,Envigado F. C.,1  -  1,Millonarios,2004,Apertura,
Fecha 16,9 de mayo,Huila,1  -  0,Deportes Quindío,2004,Apertura,
Fecha 16,9 de mayo,Once Caldas,0  -  0,Bogotá Chicó,2004,Apertura,
Fecha 17,31 de octubre,Junior,2  -  2,América,2004,Finalización,
Fecha 17,31 de octubre,Santa Fe,2  -  3,Deportes Quindío,2004,Finalización,
Fecha 17,31 de octubre,Huila,0  -  1,Bogotá Chicó,2004,Finalización,
Fecha 17,31 de octubre,Once Caldas,1  -  0,Pasto,2004,Finalización,
Fecha 17,31 de octubre,Medellín,0  -  1,Nacional,2004,Finalización,
Fecha 17,31 de octubre,Cortuluá,1  -  1,Pereira,2004,Finalización,
Fecha 17,31 de octubre,Bucaramanga,3  -  1,Tolima,2004,Finalización,
Fecha 17,31 de octubre,Cali,2  -  0,Millonarios,2004,Finalización,
Fecha 17,31 de octubre,Envigado F. C.,4  -  0,Unión Magdalena,2004,Finalización,
Fecha 17,12 de mayo,Pasto,2  -  1,Once Caldas,2004,Apertura,
Fecha 17,12 de mayo,Millonarios,2  -  0,Cali,2004,Apertura,
Fecha 17,12 de mayo,Bogotá Chicó,2  -  1,Huila,2004,Apertura,
Fecha 17,12 de mayo,Deportes Quindío,1  -  0,Santa Fe,2004,Apertura,
Fecha 17,12 de mayo,Nacional,0  -  2,Medellín,2004,Apertura,
Fecha 17,12 de mayo,Pereira,3  -  1,Cortuluá,2004,Apertura,
Fecha 17,12 de mayo,Tolima,1  -  1,Bucaramanga,2004,Apertura,
Fecha 17,12 de mayo,América,4  -  1,Junior,2004,Apertura,
Fecha 17,12 de mayo,Unión Magdalena,2  -  0,Envigado F. C.,2004,Apertura,
Fecha 18,7 de noviembre,América,2  -  1,Envigado F. C.,2004,Finalización,
