Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,América de Cali,2  -  1,Cúcuta,,2009,Apertura
Fecha 1,Huila,0  -  1,Boyacá Chicó,,2009,Apertura
Fecha 1,Junior,2  -  1,Millonarios,,2009,Apertura
Fecha 1,Medellín,1  -  1,Pasto,,2009,Apertura
Fecha 1,Envigado,3  -  3,Deportivo Cali,,2009,Apertura
Fecha 1,La Equidad,1  -  0,Atlético Nacional,,2009,Apertura
Fecha 1,Quindío,1  -  1,Tolima,,2009,Apertura
Fecha 1,Pereira,0  -  1,Once Caldas,,2009,Apertura
Fecha 1,Santa Fe,1  -  0,Cartagena,,2009,Apertura
Fecha 2,Once Caldas,2  -  3,La Equidad,,2009,Apertura
Fecha 2,Deportivo Cali,3  -  1,Medellín,,2009,Apertura
Fecha 2,Boyacá Chicó,1  -  0,Santa Fe,,2009,Apertura
Fecha 2,Tolima,0  -  1,Huila,,2009,Apertura
Fecha 2,Millonarios,1  -  1,Quindío,,2009,Apertura
Fecha 2,Cúcuta,0  -  0,Junior,,2009,Apertura
Fecha 2,Pasto,0  -  0,Pereira,,2009,Apertura
Fecha 2,Cartagena,2  -  1,Envigado,,2009,Apertura
Fecha 2,Atlético Nacional,0  -  2,América de Cali,,2009,Apertura
Fecha 3,La Equidad,1  -  3,Pasto,,2009,Apertura
Fecha 3,La Equidad,1  -  3,Pasto,,2009,Apertura
Fecha 3,Envigado,1  -  1,Boyacá Chicó,,2009,Apertura
Fecha 3,América de Cali,1  -  1,Once Caldas,,2009,Apertura
Fecha 3,Junior,3  -  0,Atlético Nacional,,2009,Apertura
Fecha 3,Quindío,0  -  1,Cúcuta,,2009,Apertura
Fecha 3,Tolima,3  -  1,Millonarios,,2009,Apertura
Fecha 3,Medellín,1  -  1,Cartagena,,2009,Apertura
Fecha 3,Pereira,1  -  0,Deportivo Cali,,2009,Apertura
Fecha 4,Huila,2  -  1,Millonarios,,2009,Apertura
Fecha 4,Once Caldas,1  -  1,Junior,,2009,Apertura
Fecha 4,Santa Fe,1  -  1,Envigado,,2009,Apertura
Fecha 4,Cúcuta,2  -  0,Tolima,,2009,Apertura
Fecha 4,Atlético Nacional,0  -  1,Quindío,,2009,Apertura
Fecha 4,Pasto,1  -  0,América de Cali,,2009,Apertura
Fecha 4,Cartagena,3  -  1,Pereira,,2009,Apertura
Fecha 4,Boyacá Chicó,3  -  2,Medellín,,2009,Apertura
Fecha 4,Deportivo Cali,3  -  0[17]​[18]​[19]​,La Equidad,,2009,Apertura
Fecha 5,Quindío,2  -  1,Once Caldas,,2009,Apertura
Fecha 5,Millonarios,1  -  0,Cúcuta,,2009,Apertura
Fecha 5,Medellín,2  -  2,Santa Fe,,2009,Apertura
Fecha 5,Envigado,2  -  0,Huila,,2009,Apertura
Fecha 5,Pereira,4  -  0,Boyacá Chicó,,2009,Apertura
Fecha 5,La Equidad,0  -  0,Cartagena,,2009,Apertura
Fecha 5,Junior,2  -  0,Pasto,,2009,Apertura
