Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Cortuluá,1 : 1,Envigado F.C.,Doce de Octubre,2015,Apertura
Fecha 1,Deportes Tolima,4 : 1,Boyacá Chicó,Manuel Murillo Toro,2015,Apertura
Fecha 1,Once Caldas,0 : 2,Independiente Medellín,Palogrande,2015,Apertura
Fecha 1,Atlético Nacional,2 : 0,Águilas Doradas,Atanasio Girardot,2015,Apertura
Fecha 1,Jaguares,0 : 0,Deportivo Cali,Municipal de Montería,2015,Apertura
Fecha 1,La Equidad,2 : 2,Independiente Santa Fe,Metropolitano de Techo,2015,Apertura
Fecha 1,Patriotas,2 : 1,Atlético Huila,La Independencia,2015,Apertura
Fecha 1,Cúcuta Deportivo,1 : 0,Junior,General Santander,2015,Apertura
Fecha 1,Uniautónoma,1 : 1,Alianza Petrolera,Metropolitano Roberto Melendez,2015,Apertura
Fecha 1,Millonarios,5 : 1,Deportivo Pasto,Nemesio Camacho El Campín,2015,Apertura
Fecha 2,Atlético Huila,2 : 1,Jaguares,Guillermo Plazas Alcid,2015,Apertura
Fecha 2,Deportivo Pasto,0 : 3,Cortuluá,Departamental Libertad,2015,Apertura
Fecha 2,Águilas Doradas,1 : 0,Uniautónoma,Hernán Ramírez Villegas,2015,Apertura
Fecha 2,Millonarios,2 : 0,Patriotas,Nemesio Camacho El Campín,2015,Apertura
Fecha 2,Independiente Medellín,0 : 1,Atlético Nacional,Atanasio Girardot,2015,Apertura
Fecha 2,Cúcuta Deportivo,2 : 2,Independiente Santa Fe,General Santander,2015,Apertura
Fecha 2,Boyacá Chicó,0 : 0,Alianza Petrolera,La Independencia,2015,Apertura
Fecha 2,Deportivo Cali,2 : 0,La Equidad,Deportivo Cali,2015,Apertura
Fecha 2,Junior,2 : 1,Once Caldas,Metropolitano Roberto Meléndez,2015,Apertura
Fecha 2,Envigado F.C.,1 : 0,Deportes Tolima,Polideportivo Sur,2015,Apertura
Fecha 3,Jaguares,2 : 0,Deportivo Pasto,Municipal de Montería,2015,Apertura
Fecha 3,Patriotas,3 : 0,Cúcuta Deportivo,La Independencia,2015,Apertura
Fecha 3,Alianza Petrolera,1 : 0,Águilas Doradas,Álvaro Gómez Hurtado,2015,Apertura
Fecha 3,Atlético Nacional,1 : 2,Atlético Huila,Atanasio Girardot,2015,Apertura
Fecha 3,La Equidad,0 : 1,Envigado F.C.,Metropolitano de Techo,2015,Apertura
Fecha 3,Uniautónoma,1 : 2,Deportivo Cali,Metropolitano Roberto Meléndez,2015,Apertura
Fecha 3,Santa Fe,1 : 0,Boyacá Chicó,Nemesio Camacho El Campín,2015,Apertura
Fecha 3,Cortuluá,2 : 0,Junior,Doce de Octubre,2015,Apertura
Fecha 3,Deportes Tolima,1 : 2,Independiente Medellín,Manuel Murillo Toro,2015,Apertura
Fecha 3,Once Caldas,1 : 2,Millonarios,Palogrande,2015,Apertura
Fecha 4,La Equidad,0 : 2,Águilas Doradas,Metropolitano de Techo,2015,Apertura
Fecha 4,Alianza Petrolera,0 : 1,Santa Fe,Álvaro Gómez Hurtado,2015,Apertura
Fecha 4,Envigado F.C.,1 : 2,Atlético Nacional,Polideportivo Sur,2015,Apertura
Fecha 4,Boyacá Chicó,0 : 0,Uniautónoma,La Independencia,2015,Apertura
Fecha 4,Millonarios,3 : 0,Cúcuta Deportivo,Nemesio Camacho El Campín,2015,Apertura
Fecha 4,Cortuluá,0 : 1,Atlético Huila,Doce de Octubre,2015,Apertura
Fecha 4,Deportes Tolima,4 : 1,Deportivo Cali,Manuel Murillo Toro,2015,Apertura
Fecha 4,Independiente Medellín,2 : 2,Jaguares,Atanasio Girardot,2015,Apertura
Fecha 4,Once Caldas,1 : 0,Deportivo Pasto,Palogrande,2015,Apertura
Fecha 4,Junior,2 : 0,Patriotas,Metropolitano Roberto Meléndez,2015,Apertura
