Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Unión Magdalena,2 : 2,Once Caldas,Sierra Nevada,2022,Finalización
Fecha 1,Deportivo Pereira,1 : 2,Alianza Petrolera,Hernán Ramírez Villegas,2022,Finalización
Fecha 1,Patriotas,1 : 0,Junior,La Independencia,2022,Finalización
Fecha 1,Envigado F. C.,0 : 0,América de Cali,Polideportivo Sur,2022,Finalización
Fecha 1,Millonarios,1 : 1,Deportivo Pasto,Nemesio Camacho El Campín,2022,Finalización
Fecha 1,La Equidad,2 : 2,Santa Fe,Metropolitano de Techo,2022,Finalización
Fecha 1,Atlético Nacional,1 : 1,Cortuluá,Atanasio Girardot,2022,Finalización
Fecha 1,Deportes Tolima,1 : 1,Independiente Medellín,Manuel Murillo Toro,2022,Finalización
Fecha 1,Deportivo Cali,2 : 2,Jaguares,Deportivo Cali,2022,Finalización
Fecha 1,Atlético Bucaramanga,0 : 1,Águilas Doradas,Alfonso López,2022,Finalización
Fecha 2,Alianza Petrolera,0 : 1,Unión Magdalena,Daniel Villa Zapata,2022,Finalización
Fecha 2,Millonarios,0 : 0,Atlético Bucaramanga,Nemesio Camacho El Campín,2022,Finalización
Fecha 2,Cortuluá,0 : 1,Jaguares,Doce de Octubre,2022,Finalización
Fecha 2,Deportivo Pasto,4 : 0,Envigado F. C.,Departamental Libertad,2022,Finalización
Fecha 2,Once Caldas,1 : 1,La Equidad,Palogrande,2022,Finalización
Fecha 2,Junior,3 : 1,Atlético Nacional,Metropolitano Roberto Meléndez,2022,Finalización
Fecha 2,Águilas Doradas,2 : 2,Santa Fe,Alberto Grisales,2022,Finalización
Fecha 2,Independiente Medellín,1 : 0,Patriotas,Atanasio Girardot,2022,Finalización
Fecha 2,Deportes Tolima,2 : 0,Deportivo Cali,Manuel Murillo Toro,2022,Finalización
Fecha 2,América de Cali,0 : 1,Deportivo Pereira,Olímpico Pascual Guerrero,2022,Finalización
Fecha 3,Jaguares,0 : 1,Deportivo Pasto,Jaraguay,2022,Finalización
Fecha 3,Atlético Nacional,1 : 2,Millonarios,Atanasio Girardot,2022,Finalización
Fecha 3,La Equidad,0 : 0,Junior,Metropolitano de Techo,2022,Finalización
Fecha 3,Envigado F. C.,2 : 2,Alianza Petrolera,Polideportivo Sur,2022,Finalización
Fecha 3,Santa Fe,1 : 0,Cortuluá,Nemesio Camacho El Campín,2022,Finalización
Fecha 3,Unión Magdalena,2 : 1,Deportes Tolima,Sierra Nevada,2022,Finalización
Fecha 3,Once Caldas,2 : 0,Águilas Doradas,Palogrande,2022,Finalización
Fecha 3,Deportivo Pereira,2 : 0,Patriotas,Hernán Ramírez Villegas,2022,Finalización
Fecha 3,Deportivo Cali,2 : 2,Independiente Medellín,Deportivo Cali,2022,Finalización
Fecha 3,Atlético Bucaramanga,0 : 2,América de Cali,Alfonso López,2022,Finalización
Fecha 4,Alianza Petrolera,3 : 1,Atlético Bucaramanga,Daniel Villa Zapata,2022,Finalización
Fecha 4,Millonarios,1 : 0,Envigado F. C.,Nemesio Camacho El Campín,2022,Finalización
Fecha 4,Águilas Doradas,3 : 0,La Equidad,Alberto Grisales,2022,Finalización
Fecha 4,Deportivo Pasto,1 : 2,Unión Magdalena,Departamental Libertad,2022,Finalización
Fecha 4,Junior,2 : 0,Santa Fe,Metropolitano Roberto Meléndez,2022,Finalización
Fecha 4,Deportes Tolima,2 : 2,Atlético Nacional,Manuel Murillo Toro,2022,Finalización
Fecha 4,América de Cali,1 : 1,Cortuluá,Doce de Octubre,2022,Finalización
Fecha 4,Independiente Medellín,1 : 1,Once Caldas,Atanasio Girardot,2022,Finalización
Fecha 4,Deportivo Pereira,2 : 1,Deportivo Cali,Hernán Ramírez Villegas,2022,Finalización
Fecha 4,Patriotas,0 : 0,Jaguares,La Independencia,2022,Finalización
Fecha 5,Cortuluá,1 : 0,Independiente Medellín,Doce de Octubre,2022,Finalización
Fecha 5,Jaguares,2 : 1,Alianza Petrolera,Jaraguay,2022,Finalización
Fecha 5,Once Caldas,2 : 1,Deportivo Pereira,Palogrande,2022,Finalización
Fecha 5,Águilas Doradas,1 : 1,Junior,Alberto Grisales,2022,Finalización
Fecha 5,Unión Magdalena,0 : 2,Millonarios,Sierra Nevada,2022,Finalización
Fecha 5,La Equidad,4 : 3,Patriotas,Metropolitano de Techo,2022,Finalización
Fecha 5,Atlético Bucaramanga,2 : 1,Deportes Tolima,Alfonso López,2022,Finalización
Fecha 5,Atlético Nacional,3 : 1,Deportivo Pasto,Atanasio Girardot,2022,Finalización
Fecha 5,Deportivo Cali,0 : 3,Envigado F. C.,Deportivo Cali,2022,Finalización
Fecha 5,Santa Fe,1 : 1,América de Cali,Nemesio Camacho El Campín,2022,Finalización
Fecha 6,Independiente Medellín,1 : 1,La Equidad,Atanasio Girardot,2022,Finalización
Fecha 6,Patriotas,3 : 0,Cortuluá,La Independencia,2022,Finalización
Fecha 6,Envigado F. C.,1 : 2,Unión Magdalena,Polideportivo Sur,2022,Finalización
Fecha 6,Deportes Tolima,2 : 2,Jaguares,Manuel Murillo Toro,2022,Finalización
Fecha 6,Alianza Petrolera,0 : 2,Atlético Nacional,Daniel Villa Zapata,2022,Finalización
Fecha 6,Millonarios,4 : 2,Deportivo Cali,Nemesio Camacho El Campín,2022,Finalización
Fecha 6,Deportivo Pasto,1 : 0,Atlético Bucaramanga,Departamental Libertad,2022,Finalización
Fecha 6,Junior,1 : 2,Once Caldas,Metropolitano Roberto Meléndez,2022,Finalización
Fecha 6,Deportivo Pereira,0 : 1,Santa Fe,Hernán Ramírez Villegas,2022,Finalización
Fecha 6,América de Cali,2 : 0,Águilas Doradas,Olímpico Pascual Guerrero,2022,Finalización
Fecha 7,Atlético Bucaramanga,1 : 0,Unión Magdalena,Alfonso López,2022,Finalización
Fecha 7,Cortuluá,0 : 2,Alianza Petrolera,Doce de Octubre,2022,Finalización
Fecha 7,Santa Fe,2 : 1,Deportes Tolima,Nemesio Camacho El Campín,2022,Finalización
Fecha 7,Junior,4 : 2,Independiente Medellín,Metropolitano Roberto Meléndez,2022,Finalización
Fecha 7,Jaguares,1 : 2,Deportivo Pereira,Jaraguay,2022,Finalización
Fecha 7,Águilas Doradas,0 : 0,Millonarios,Alberto Grisales,2022,Finalización
Fecha 7,Once Caldas,1 : 1,Patriotas,Palogrande,2022,Finalización
Fecha 7,La Equidad,0 : 0,América de Cali,Nemesio Camacho El Campín,2022,Finalización
Fecha 7,Atlético Nacional,1 : 1,Envigado F. C.,Atanasio Girardot,2022,Finalización
Fecha 7,Deportivo Cali,2 : 0,Deportivo Pasto,Deportivo Cali,2022,Finalización
Fecha 8,Envigado F. C.,2 : 1,Atlético Bucaramanga,Polideportivo Sur,2022,Finalización
Fecha 8,Alianza Petrolera,4 : 4,Deportivo Cali,Daniel Villa Zapata,2022,Finalización
Fecha 8,Deportivo Pereira,2 : 1,Cortuluá,Hernán Ramírez Villegas,2022,Finalización
Fecha 8,Patriotas,0 : 1,Águilas Doradas,La Independencia,2022,Finalización
Fecha 8,Millonarios,2 : 0,Jaguares,Nemesio Camacho El Campín,2022,Finalización
Fecha 8,Independiente Medellín,2 : 0,Santa Fe,Atanasio Girardot,2022,Finalización
Fecha 8,América de Cali,2 : 1,Junior,Olímpico Pascual Guerrero,2022,Finalización
Fecha 8,Unión Magdalena,2 : 2,Atlético Nacional,Sierra Nevada,2022,Finalización
Fecha 8,Deportes Tolima,1 : 1,La Equidad,Manuel Murillo Toro,2022,Finalización
Fecha 8,Deportivo Pasto,2 : 0,Once Caldas,Departamental Libertad,2022,Finalización
Fecha 9,Once Caldas,1 : 1,América de Cali,Palogrande,2022,Finalización
Fecha 9,Santa Fe,2 : 1,Patriotas,Nemesio Camacho El Campín,2022,Finalización
Fecha 9,Alianza Petrolera,0 : 0,Deportivo Pasto,Daniel Villa Zapata,2022,Finalización
Fecha 9,Atlético Nacional,3 : 2,Atlético Bucaramanga,Atanasio Girardot,2022,Finalización
Fecha 9,La Equidad,1 : 1,Deportivo Pereira,Metropolitano de Techo,2022,Finalización
Fecha 9,Cortuluá,1 : 4,Millonarios,Doce de Octubre,2022,Finalización
Fecha 9,Junior,2 : 1,Deportes Tolima,Metropolitano Roberto Meléndez,2022,Finalización
Fecha 9,Águilas Doradas,3 : 0,Independiente Medellín,Alberto Grisales,2022,Finalización
Fecha 9,Jaguares,0 : 0,Envigado F. C.,Jaraguay,2022,Finalización
Fecha 9,Deportivo Cali,2 : 2,Unión Magdalena,Deportivo Cali,2022,Finalización
Fecha 10,Atlético Bucaramanga,3 : 1,Alianza Petrolera,Alfonso López,2022,Finalización
Fecha 10,Deportes Tolima,0 : 0,Cortuluá,Manuel Murillo Toro,2022,Finalización
Fecha 10,Millonarios,2 : 0,Santa Fe,Nemesio Camacho El Campín,2022,Finalización
Fecha 10,Deportivo Pereira,1 : 1,Once Caldas,Hernán Ramírez Villegas,2022,Finalización
Fecha 10,Unión Magdalena,2 : 1,Junior,Sierra Nevada,2022,Finalización
Fecha 10,Independiente Medellín,4 : 3,Atlético Nacional,Atanasio Girardot,2022,Finalización
Fecha 10,América de Cali,1 : 0,Deportivo Cali,Olímpico Pascual Guerrero,2022,Finalización
Fecha 10,Deportivo Pasto,2 : 1,Jaguares,Departamental Libertad,2022,Finalización
Fecha 10,Patriotas,2 : 3,La Equidad,La Independencia,2022,Finalización
Fecha 10,Envigado F. C.,0 : 1,Águilas Doradas,Polideportivo Sur,2022,Finalización
Fecha 11,Patriotas,1 : 1,Deportes Tolima,La Independencia,2022,Finalización
Fecha 11,Cortuluá,1 : 2,Unión Magdalena,Doce de Octubre,2022,Finalización
