Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,América de Cali,2  -  2,Huila,Pascual Guerrero,2010,Apertura
Fecha 1,Millonarios,2  -  1,Atlético Nacional,El Campín,2010,Apertura
Fecha 1,Medellín,0  -  0,Santa Fe,Atanasio Girardot,2010,Apertura
Fecha 1,Pereira,2  -  2,Junior,Hernán Ramírez Villegas,2010,Apertura
Fecha 1,Cortuluá,1  -  2,Boyacá Chicó,Doce de Octubre,2010,Apertura
Fecha 1,Cartagena,4  -  3,Once Caldas,Jaime Morón,2010,Apertura
Fecha 1,Envigado,1  -  0,Cúcuta,Ditaires[29]​,2010,Apertura
Fecha 1,La Equidad,1  -  0,Quindío,Metropolitano de Techo,2010,Apertura
Fecha 1,Tolima,3  -  1,Deportivo Cali,Manuel Murillo Toro,2010,Apertura
Fecha 2,Once Caldas,3  -  1,Envigado,Palogrande,2010,Apertura
Fecha 2,Deportivo Cali,4  -  1,Millonarios,Pascual Guerrero,2010,Apertura
Fecha 2,Cúcuta,0  -  2,Pereira,General Santander,2010,Apertura
Fecha 2,Atlético Nacional,1  -  2,Medellín,Atanasio Girardot,2010,Apertura
Fecha 2,Quindío,0  -  3,Tolima,Centenario,2010,Apertura
Fecha 2,Junior,2  -  0,La Equidad,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 2,Boyacá Chicó,0  -  2,Cartagena,De La Independencia,2010,Apertura
Fecha 2,Huila,1  -  1,Cortuluá,Guillermo Plazas Alcid,2010,Apertura
Fecha 2,Santa Fe,2  -  0,América de Cali,El Campín,2010,Apertura
Fecha 3,Millonarios,0  -  0,Quindío,El Campín,2010,Apertura
Fecha 3,Atlético Nacional,2  -  0,Deportivo Cali,Atanasio Girardot,2010,Apertura
Fecha 3,Tolima,2  -  2,Junior,Manuel Murillo Toro,2010,Apertura
Fecha 3,Envigado,1  -  0,Boyacá Chicó,Atanasio Girardot,2010,Apertura
Fecha 3,Pereira,1  -  1,Once Caldas,Hernán Ramírez Villegas,2010,Apertura
Fecha 3,Cortuluá,2  -  0,Santa Fe,Doce de Octubre,2010,Apertura
Fecha 3,Cartagena,2  -  1,Huila,Jaime Morón León,2010,Apertura
Fecha 3,La Equidad,0  -  0,Cúcuta,Metropolitano de Techo,2010,Apertura
Fecha 3,América de Cali,1  -  0,Medellín,Pascual Guerrero,2010,Apertura
Fecha 4,Boyacá Chicó,1  -  1,Pereira,De La Independencia,2010,Apertura
Fecha 4,Junior,2  -  0,Millonarios,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 4,Quindío,0  -  2,Atlético Nacional,Centenario,2010,Apertura
Fecha 4,Cúcuta,1  -  0,Tolima,General Santander,2010,Apertura
Fecha 4,Once Caldas,2  -  3,La Equidad,Palogrande,2010,Apertura
Fecha 4,Huila,2  -  2,Envigado,Guillermo Plazas Alcid,2010,Apertura
Fecha 4,Santa Fe,2  -  2,Cartagena,El Campín,2010,Apertura
Fecha 4,América de Cali,0  -  1,Cortuluá,Pascual Guerrero,2010,Apertura
Fecha 4,Medellín,2  -  1,Deportivo Cali,Atanasio Girardot,2010,Apertura
Fecha 5,Atlético Nacional,1  -  0,Junior,Atanasio Girardot,2010,Apertura
Fecha 5,Millonarios,2  -  0,Cúcuta,El Campín,2010,Apertura
Fecha 5,Cartagena,1  -  0,América de Cali,Jaime Morón León,2010,Apertura
Fecha 5,Cortuluá,1  -  2,Medellín,Doce de Octubre,2010,Apertura
Fecha 5,Pereira,1  -  3,Huila,Hernán Ramírez Villegas,2010,Apertura
Fecha 5,La Equidad,2  -  1,Boyacá Chicó,Metropolitano de Techo,2010,Apertura
Fecha 5,Deportivo Cali,2  -  0,Quindío,Estadio Deportivo Cali[30]​,2010,Apertura
Fecha 5,Envigado,1  -  1,Santa Fe,Polideportivo Sur,2010,Apertura
Fecha 5,Tolima,1  -  1,Once Caldas,Manuel Murillo Toro,2010,Apertura
Fecha 6,Cortuluá,1  -  2,Cartagena,Doce de Octubre,2010,Apertura
Fecha 6,Cúcuta,1  -  1,Atlético Nacional,General Santander,2010,Apertura
Fecha 6,Medellín,1  -  0,Quindío,Atanasio Girardot,2010,Apertura
Fecha 6,Junior,3  -  0,Deportivo Cali,Metropolitano Roberto Meléndez,2010,Apertura
Fecha 6,Boyacá Chicó,1  -  1,Tolima,De La Independencia,2010,Apertura
Fecha 6,Huila,4  -  1,La Equidad,Guillermo Plazas Alcid,2010,Apertura
Fecha 6,América de Cali,2  -  2,Envigado,Pascual Guerrero,2010,Apertura
Fecha 6,Santa Fe,0  -  2,Pereira,El Campín,2010,Apertura
Fecha 6,Once Caldas,3  -  1,Millonarios,Palogrande,2010,Apertura
Fecha 7,La Equidad,1  -  2,Santa Fe,Metropolitano de Techo,2010,Apertura
Fecha 7,Atlético Nacional,1  -  2,Once Caldas,Ditaires[33]​,2010,Apertura
Fecha 7,Cartagena,1  -  1,Medellín,Jaime Morón León,2010,Apertura
Fecha 7,Envigado,2  -  0,Cortuluá,Polideportivo Sur,2010,Apertura
Fecha 7,Pereira,1  -  0,América de Cali,Hernán Ramírez Villegas,2010,Apertura
Fecha 7,Tolima,1  -  0,Huila,Manuel Murillo Toro,2010,Apertura
Fecha 7,Deportivo Cali,1  -  1,Cúcuta,Pascual Guerrero,2010,Apertura
Fecha 7,Quindío,1  -  2,Junior,Centenario,2010,Apertura
Fecha 7,Millonarios,2  -  3,Boyacá Chicó,El Campín,2010,Apertura
Fecha 8,Santa Fe,3  -  2,Tolima,El Campín,2010,Apertura
Fecha 8,Medellín,1  -  1,Junior,Polideportivo Sur,2010,Apertura
Fecha 8,Once Caldas,0  -  3,Deportivo Cali,Palogrande,2010,Apertura
Fecha 8,Boyacá Chicó,3  -  2,Atlético Nacional,De La Independencia,2010,Apertura
Fecha 8,Cortuluá,1  -  1,Pereira,Doce de Octubre,2010,Apertura
Fecha 8,Cartagena,1  -  1,Envigado,Jaime Morón León,2010,Apertura
