Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Cortuluá,0 : 4,Deportivo Pasto,Olímpico Pascual Guerrero,2017,Apertura
Fecha 1,Jaguares,1 : 0,Deportes Tolima,Jaraguay,2017,Apertura
Fecha 1,América de Cali,0 : 0,Rionegro Águilas,Olímpico Pascual Guerrero,2017,Apertura
Fecha 1,Alianza Petrolera,1 : 2,Atlético Bucaramanga,Daniel Villa Zapata,2017,Apertura
Fecha 1,La Equidad,1 : 0,Junior,Metropolitano de Techo,2017,Apertura
Fecha 1,Envigado F. C.,2 : 0,Deportivo Cali,Polideportivo Sur,2017,Apertura
Fecha 1,Atlético Huila,1 : 1,Patriotas,Guillermo Plazas Alcid,2017,Apertura
Fecha 1,Once Caldas,0 : 0,Tigres,Palogrande,2017,Apertura
Fecha 1,Millonarios,1 : 2,Independiente Medellín,Nemesio Camacho El Campín,2017,Apertura
Fecha 1,Atlético Nacional,3 : 1,Santa Fe,Atanasio Girardot,2017,Apertura
Fecha 2,Rionegro Águilas,0 : 0,Alianza Petrolera,Alberto Grisales,2017,Apertura
Fecha 2,Deportes Tolima,2 : 1,América de Cali,Manuel Murillo Toro,2017,Apertura
Fecha 2,Tigres,1 : 0,Cortuluá,Metropolitano de Techo,2017,Apertura
Fecha 2,Deportivo Cali,4 : 0,Atlético Huila,Olímpico Pascual Guerrero,2017,Apertura
Fecha 2,Independiente Medellín,2 : 1,Envigado F. C.,Atanasio Girardot,2017,Apertura
Fecha 2,Patriotas,2 : 0,Once Caldas,La Independencia,2017,Apertura
Fecha 2,Deportivo Pasto,1 : 1,La Equidad,Departamental Libertad,2017,Apertura
Fecha 2,Atlético Bucaramanga,0 : 1,Atlético Nacional,Álvaro Gómez Hurtado,2017,Apertura
Fecha 2,Santa Fe,2 : 1,Millonarios,Nemesio Camacho El Campín,2017,Apertura
Fecha 2,Junior,1 : 2,Jaguares,Metropolitano Roberto Meléndez,2017,Apertura
Fecha 3,Atlético Huila,2 : 1,Independiente Medellín,Guillermo Plazas Alcid,2017,Apertura
Fecha 3,Alianza Petrolera,2 : 1,Deportes Tolima,Daniel Villa Zapata,2017,Apertura
Fecha 3,Envigado F. C.,0 : 1,Santa Fe,Polideportivo Sur,2017,Apertura
