Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,31 de Julio,Once Caldas,1  -  2,Pereira,2004,Finalización
Fecha 1,1 de agosto,Junior,4  -  0,Bogotá Chicó,2004,Finalización
Fecha 1,1 de agosto,Deportes Quindío,0  -  2,América,2004,Finalización
Fecha 1,1 de agosto,Santa Fe,3  -  1,Pasto,2004,Finalización
Fecha 1,1 de agosto,Huila,1  -  0,Nacional,2004,Finalización
Fecha 1,1 de agosto,Cortuluá,1  -  0,Millonarios,2004,Finalización
Fecha 1,1 de agosto,Bucaramanga,2  -  1,Unión Magdalena,2004,Finalización
Fecha 1,1 de agosto,Cali,1  -  0,Envigado F. C.,2004,Finalización
Fecha 1,1 de agosto,Medellín,0  -  1,Tolima,2004,Finalización
Fecha 2,6 de agosto,América,3  -  0,Cali,2004,Finalización
Fecha 2,7 de agosto,Envigado F. C.,0  -  1,Bucaramanga,2004,Finalización
Fecha 2,7 de agosto,Millonarios,(1 - 1) 0  -  3[1]​,Medellín,2004,Finalización
Fecha 2,7 de agosto,Unión Magdalena,1  -  0,Cortuluá,2004,Finalización
Fecha 2,7 de agosto,Tolima,1  -  0,Once Caldas,2004,Finalización
Fecha 2,7 de agosto,Pereira,0  -  0,Huila,2004,Finalización
Fecha 2,7 de agosto,Nacional,0  -  1,Santa Fe,2004,Finalización
Fecha 2,7 de agosto,Pasto,1  -  1,Junior,2004,Finalización
Fecha 2,7 de agosto,Bogotá Chicó,2  -  2,Deportes Quindío,2004,Finalización
Fecha 3,11-08,Once Caldas,4  -  0,Millonarios,2004,Finalización
Fecha 3,11-08,Cortuluá,0  -  3,Envigado F. C.,2004,Finalización
Fecha 3,11-08,Deportes Quindío,1  -  0,Deportivo Pasto,2004,Finalización
Fecha 3,11 de agosto,Junior,2  -  0,Nacional,2004,Finalización
Fecha 3,11 de agosto,Bucaramanga,2  -  1,Cali,2004,Finalización
Fecha 3,11 de agosto,Medellín,5  -  1,Unión Magdalena,2004,Finalización
Fecha 3,11 de agosto,Huila,1  -  4,Tolima,2004,Finalización
Fecha 3,11 de agosto,Santa Fe,2  -  0,Pereira,2004,Finalización
Fecha 3,11 de agosto,América,3  -  1,Bogotá Chicó,2004,Finalización
Fecha 4,15 de agosto,Unión Magdalena,1  -  2,Once Caldas,2004,Finalización
Fecha 4,15 de agosto,Cali,0  -  0,Cortuluá,2004,Finalización
Fecha 4,15 de agosto,Envigado F. C.,1  -  1,Medellín,2004,Finalización
Fecha 4,15 de agosto,Millonarios,0  -  3,Huila,2004,Finalización
Fecha 4,15 de agosto,Pereira,0  -  0,Junior,2004,Finalización
Fecha 4,15 de agosto,Nacional,2  -  2,Deportes Quindío,2004,Finalización
Fecha 4,15 de agosto,Pasto,0  -  0,Bogotá Chicó,2004,Finalización
Fecha 4,15 de agosto,Tolima,2  -  1,Santa Fe,2004,Finalización
Fecha 4,15 de agosto,Bucaramanga,0  -  1,América,2004,Finalización
Fecha 5,22 de agosto,Bogotá Chicó,1  -  2,Nacional,2004,Finalización
Fecha 5,22 de agosto,Medellín,2  -  0,Cali,2004,Finalización
Fecha 5,22 de agosto,Deportes Quindío,3  -  0,Pereira,2004,Finalización
Fecha 5,22 de agosto,Junior,1  -  2,Tolima,2004,Finalización
Fecha 5,22 de agosto,Huila,2  -  0,Unión Magdalena,2004,Finalización
Fecha 5,22 de agosto,Once Caldas,2  -  2,Envigado F. C.,2004,Finalización
Fecha 5,22 de agosto,Cortuluá,1  -  2,Bucaramanga,2004,Finalización
Fecha 5,22 de agosto,Santa Fe,4  -  1,Millonarios,2004,Finalización
Fecha 5,22 de agosto,América,0  -  0,Pasto,2004,Finalización
Fecha 6,29 de agosto,Cortuluá,1  -  2,América,2004,Finalización
Fecha 6,29 de agosto,Bucaramanga,0  -  0,Medellín,2004,Finalización
Fecha 6,29 de agosto,Cali,2  -  0,Once Caldas,2004,Finalización
Fecha 6,29 de agosto,Envigado F. C.,2  -  1,Huila,2004,Finalización
Fecha 6,29 de agosto,Unión Magdalena,0  -  1,Santa Fe,2004,Finalización
Fecha 6,29 de agosto,Millonarios,0  -  1,Junior,2004,Finalización
Fecha 6,29 de agosto,Tolima,3  -  0,Deportes Quindío,2004,Finalización
Fecha 6,29 de agosto,Pereira,0  -  1,Bogotá Chicó,2004,Finalización
Fecha 6,29 de agosto,Nacional,1  -  0,Pasto,2004,Finalización
Fecha 7,8 de septiembre,Deportes Quindío,2  -  1,Millonarios,2004,Finalización
Fecha 7,8 de septiembre,Junior,3  -  0,Unión Magdalena,2004,Finalización
Fecha 7,8 de septiembre,América,4  -  1,Nacional,2004,Finalización
Fecha 7,8 de septiembre,Pasto,1  -  0,Pereira,2004,Finalización
Fecha 7,8 de septiembre,Bogotá Chicó,1  -  1,Tolima,2004,Finalización
Fecha 7,8 de septiembre,Santa Fe,2  -  1,Envigado F. C.,2004,Finalización
Fecha 7,8 de septiembre,Huila,2  -  2,Cali,2004,Finalización
Fecha 7,8 de septiembre,Once Caldas,3  -  1,Bucaramanga,2004,Finalización
Fecha 7,8 de septiembre,Medellín,3  -  0,Cortuluá,2004,Finalización
Fecha 8,12-09,Medellín,1  -  0,América,2004,Finalización
Fecha 8,12 de septiembre,Cortuluá,1  -  1,Once Caldas,2004,Finalización
Fecha 8,12 de septiembre,Bucaramanga,3  -  1,Huila,2004,Finalización
Fecha 8,12 de septiembre,Cali,1  -  0,Santa Fe,2004,Finalización
Fecha 8,12 de septiembre,Envigado F. C.,2  -  2,Junior,2004,Finalización
Fecha 8,12 de septiembre,Unión Magdalena,2  -  0,Deportes Quindío,2004,Finalización
Fecha 8,12 de septiembre,Millonarios,2  -  2,Bogotá Chicó,2004,Finalización
Fecha 8,12 de septiembre,Tolima,0  -  0,Pasto,2004,Finalización
Fecha 8,12 de septiembre,Pereira,1  -  4,Nacional,2004,Finalización
Fecha 9,15-09,Bogotá Chicó,0  -  2,Bucaramanga,2004,Finalización
Fecha 9,15-09,Pasto,1  -  0,Cortuluá,2004,Finalización
Fecha 9,15 de septiembre,Nacional,2  -  1,Medellín,2004,Finalización
Fecha 9,15 de septiembre,Pereira,0  -  2,Once Caldas,2004,Finalización
Fecha 9,15 de septiembre,Tolima,3  -  2,Huila,2004,Finalización
Fecha 9,15 de septiembre,Millonarios,1  -  1,Santa Fe,2004,Finalización
Fecha 9,15 de septiembre,Unión Magdalena,1  -  2,Junior,2004,Finalización
Fecha 9,15 de septiembre,Envigado F. C.,3  -  0,Deportes Quindío,2004,Finalización
Fecha 9,15 de septiembre,Cali,0  -  1,América,2004,Finalización
Fecha 10,19 de septiembre,América,2  -  1,Pereira,2004,Finalización
Fecha 10,19 de septiembre,Nacional,2  -  0,Tolima,2004,Finalización
Fecha 10,19 de septiembre,Pasto,0  -  0,Millonarios,2004,Finalización
Fecha 10,19 de septiembre,Bogotá Chicó,1  -  0,Unión Magdalena,2004,Finalización
Fecha 10,19 de septiembre,Deportes Quindío,1  -  1,Envigado F. C.,2004,Finalización
Fecha 10,19 de septiembre,Junior,0  -  3,Cali,2004,Finalización
Fecha 10,19 de septiembre,Santa Fe,1  -  1,Bucaramanga,2004,Finalización
Fecha 10,19-09,Huila,1  -  0,Cortuluá,2004,Finalización
Fecha 10,19-09,Once Caldas,0  -  0,Medellín,2004,Finalización
Fecha 11,22-09,Once Caldas,3  -  0,América,2004,Finalización
Fecha 11,22-09,Medellín,1  -  0,Huila,2004,Finalización
Fecha 11,22 de septiembre,Cortuluá,3  -  1,Santa Fe,2004,Finalización
Fecha 11,22 de septiembre,Bucaramanga,0  -  1,Junior,2004,Finalización
Fecha 11,22 de septiembre,Cali,3  -  0,Deportes Quindío,2004,Finalización
Fecha 11,22 de septiembre,Envigado F. C.,1  -  0,Bogotá Chicó,2004,Finalización
Fecha 11,22 de septiembre,Unión Magdalena,1  -  0,Pasto,2004,Finalización
Fecha 11,22 de septiembre,Millonarios,1  -  1,Nacional,2004,Finalización
Fecha 11,22 de septiembre,Tolima,0  -  1,Pereira,2004,Finalización
Fecha 12,26 de septiembre,América,3  -  3,Tolima,2004,Finalización
Fecha 12,26 de septiembre,Pereira,0  -  2,Millonarios,2004,Finalización
Fecha 12,26 de septiembre,Nacional,0  -  0,Unión Magdalena,2004,Finalización
Fecha 12,26 de septiembre,Pasto,1  -  1,Envigado F. C.,2004,Finalización
Fecha 12,26 de septiembre,Bogotá Chicó,1  -  2,Cali,2004,Finalización
Fecha 12,26 de septiembre,Deportes Quindío,2  -  0,Bucaramanga,2004,Finalización
Fecha 12,26 de septiembre,Junior,0  -  2,Cortuluá,2004,Finalización
Fecha 12,26-09,Santa Fe,2  -  1,Medellín,2004,Finalización
Fecha 12,26-09,Huila,3  -  0,Once Caldas,2004,Finalización
Fecha 13,3 de octubre,Huila,0  -  1,América,2004,Finalización
Fecha 13,3 de octubre,Once Caldas,1  -  1,Santa Fe,2004,Finalización
Fecha 13,3 de octubre,Medellín,2  -  2,Junior,2004,Finalización
Fecha 13,3 de octubre,Cortuluá,1  -  0,Deportes Quindío,2004,Finalización
Fecha 13,3 de octubre,Bucaramanga,0  -  0,Bogotá Chicó,2004,Finalización
Fecha 13,3 de octubre,Cali,2  -  0,Pasto,2004,Finalización
Fecha 13,3 de octubre,Envigado F.C,2  -  1,Nacional,2004,Finalización
Fecha 13,3 de octubre,Unión Magdalena,1  -  0,Pereira,2004,Finalización
Fecha 13,3 de octubre,Millonarios,2  -  1,Tolima,2004,Finalización
Fecha 14,15 de octubre,América,1  -  0,Millonarios,2004,Finalización
Fecha 14,17 de octubre,Bogotá Chicó,1  -  2,Cortuluá,2004,Finalización
Fecha 14,17 de octubre,Tolima,1  -  0,Unión Magdalena,2004,Finalización
Fecha 14,17 de octubre,Santa Fe,2  -  1,Huila,2004,Finalización
Fecha 14,17 de octubre,Nacional,3  -  1,Cali,2004,Finalización
Fecha 14,17 de octubre,Pereira,1  -  0,Envigado F.C,2004,Finalización
Fecha 14,17 de octubre,Deportes Quindío,1  -  0,Medellín,2004,Finalización
Fecha 14,17 de octubre,Junior,1  -  4,Once Caldas,2004,Finalización
Fecha 14,17 de octubre,Pasto,1  -  1,Bucaramanga,2004,Finalización
Fecha 15,24 de octubre,Santa Fe,0  -  2,América,2004,Finalización
Fecha 15,24 de octubre,Huila,1  -  1,Junior,2004,Finalización
Fecha 15,24 de octubre,Once Caldas,6  -  1,Deportes Quindío,2004,Finalización
Fecha 15,24 de octubre,Medellín,1  -  0,Bogotá Chicó,2004,Finalización
Fecha 15,24 de octubre,Cortuluá,0  -  0,Pasto,2004,Finalización
Fecha 15,24 de octubre,Bucaramanga,1  -  0,Nacional,2004,Finalización
Fecha 15,24 de octubre,Cali,2  -  0,Pereira,2004,Finalización
Fecha 15,24 de octubre,Envigado F. C.,1  -  2,Tolima,2004,Finalización
Fecha 15,24 de octubre,Unión Magdalena,1  -  0,Millonarios,2004,Finalización
Fecha 16,27 de octubre,América,3  -  0,Unión Magdalena,2004,Finalización
Fecha 16,27 de octubre,Millonarios,3  -  0,Envigado F. C.,2004,Finalización
Fecha 16,27 de octubre,Tolima,2  -  1,Cali,2004,Finalización
Fecha 16,27 de octubre,Pereira,1  -  2,Bucaramanga,2004,Finalización
Fecha 16,27 de octubre,Nacional,2  -  0,Cortuluá,2004,Finalización
Fecha 16,27 de octubre,Pasto,1  -  2,Medellín,2004,Finalización
Fecha 16,27 de octubre,Bogotá Chicó,1  -  0,Once Caldas,2004,Finalización
Fecha 16,27 de octubre,Deportes Quindío,2  -  0,Huila,2004,Finalización
Fecha 16,27 de octubre,Junior,2  -  0,Santa Fe,2004,Finalización
Fecha 17,31 de octubre,Junior,2  -  2,América,2004,Finalización
Fecha 17,31 de octubre,Santa Fe,2  -  3,Deportes Quindío,2004,Finalización
Fecha 17,31 de octubre,Huila,0  -  1,Bogotá Chicó,2004,Finalización
Fecha 17,31 de octubre,Once Caldas,1  -  0,Pasto,2004,Finalización
Fecha 17,31 de octubre,Medellín,0  -  1,Nacional,2004,Finalización
Fecha 17,31 de octubre,Cortuluá,1  -  1,Pereira,2004,Finalización
Fecha 17,31 de octubre,Bucaramanga,3  -  1,Tolima,2004,Finalización
Fecha 17,31 de octubre,Cali,2  -  0,Millonarios,2004,Finalización
Fecha 17,31 de octubre,Envigado F. C.,4  -  0,Unión Magdalena,2004,Finalización
Fecha 18,7 de noviembre,América,2  -  1,Envigado F. C.,2004,Finalización
Fecha 18,7 de noviembre,Unión Magdalena,1  -  1,Cali,2004,Finalización
Fecha 18,7 de noviembre,Millonarios,1  -  2,Bucaramanga,2004,Finalización
Fecha 18,7 de noviembre,Tolima,0  -  1,Cortuluá,2004,Finalización
Fecha 18,7 de noviembre,Pereira,1  -  1,Medellín,2004,Finalización
Fecha 18,7 de noviembre,Pasto,3  -  2,Huila,2004,Finalización
Fecha 18,7 de noviembre,Nacional,2  -  0,Once Caldas,2004,Finalización
Fecha 18,7 de noviembre,Bogotá Chicó,2  -  2,Santa Fe,2004,Finalización
Fecha 18,7 de noviembre,Deportes Quindío,1  -  1,Junior,2004,Finalización
