Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Santa Fe,2  -  0,Independiente Medellín,El Campín,2010,Finalización
Fecha 1,Junior,2  -  1,Deportivo Pereira,Jaime Morón León[24]​,2010,Finalización
Fecha 1,Atlético Huila,1  -  1,América de Cali,Guillermo Plazas Alcid,2010,Finalización
Fecha 1,Boyacá Chicó,1  -  0,Cortuluá,De La Independencia,2010,Finalización
Fecha 1,Cúcuta Deportivo,2  -  0,Envigado F. C.,General Santander,2010,Finalización
Fecha 1,Deportes Quindío,1  -  0,La Equidad,Alfonso López(Cartago)[25]​,2010,Finalización
Fecha 1,Once Caldas,2  -  1,Real Cartagena,El Vergel(Riosucio)[26]​,2010,Finalización
Fecha 1,Deportivo Cali,1  -  1,Deportes Tolima,Estadio Deportivo Cali,2010,Finalización
Fecha 1,Atlético Nacional,2  -  1,Millonarios,Atanasio Girardot,2010,Finalización
Fecha 2,Millonarios,1  -  0,Deportivo Cali,El Campín,2010,Finalización
Fecha 2,Envigado F. C.,1  -  2,Once Caldas,Polideportivo Sur,2010,Finalización
Fecha 2,La Equidad,1  -  0,Junior,Metropolitano de Techo,2010,Finalización
Fecha 2,Deportes Tolima,2  -  0,Deportes Quindío,Manuel Murillo Toro,2010,Finalización
Fecha 2,Deportivo Pereira,1  -  2,Cúcuta Deportivo,Alfonso López (Cartago),2010,Finalización
Fecha 2,Cortuluá,1  -  1,Atlético Huila,Doce de Octubre,2010,Finalización
Fecha 2,Real Cartagena,0  -  0,Boyacá Chicó,Jaime Morón León,2010,Finalización
Fecha 2,América de Cali,1  -  2,Santa Fe,Luis A. Duque Peña(Girardot)[27]​,2010,Finalización
Fecha 2,Independiente Medellín,1  -  2,Atlético Nacional,Atanasio Girardot,2010,Finalización
Fecha 3,Deportivo Cali,3  -  1,Atlético Nacional,Estadio Deportivo Cali,2010,Finalización
Fecha 3,Santa Fe,3  -  0,Cortuluá,El Campín,2010,Finalización
Fecha 3,Independiente Medellín,1  -  0,América de Cali,Atanasio Girardot[28]​,2010,Finalización
Fecha 3,Junior,1  -  1,Deportes Tolima,Romelio Martínez(Barranquilla),2010,Finalización
Fecha 3,Huila,2  -  1,Real Cartagena,Guillermo Plazas Alcid,2010,Finalización
Fecha 3,Boyacá Chicó,2  -  1,Envigado F. C.,De La Independencia,2010,Finalización
Fecha 3,Deportes Quindío,3  -  2,Millonarios,Alfonso López (Cartago),2010,Finalización
Fecha 3,Cúcuta Deportivo,2  -  0,La Equidad,General Santander,2010,Finalización
Fecha 3,Once Caldas,1  -  0,Deportivo Pereira,Palogrande,2010,Finalización
Fecha 4,La Equidad,4  -  2,Once Caldas,Metropolitano de Techo,2010,Finalización
Fecha 4,Deportivo Cali,0  -  0,Independiente Medellín,Estadio Deportivo Cali,2010,Finalización
Fecha 4,Atlético Nacional,1  -  0,Quindío,Atanasio Girardot,2010,Finalización
Fecha 4,Cartagena,2  -  2,Santa Fe,Jaime Morón León,2010,Finalización
Fecha 4,Tolima,1  -  0,Cúcuta,Manuel Murillo Toro,2010,Finalización
Fecha 4,Pereira,2  -  2,Boyacá Chicó,Alfonso López (Cartago),2010,Finalización
Fecha 4,Cortuluá,1  -  2,América de Cali,Doce de Octubre,2010,Finalización
Fecha 4,Envigado,0  -  1,Huila,Polideportivo Sur,2010,Finalización
Fecha 4,Millonarios,1  -  1,Junior,El Campín,2010,Finalización
Fecha 5,Santa Fe,1  -  0,Envigado,El Campín,2010,Finalización
Fecha 5,Cúcuta,2  -  1,Millonarios,General Santander,2010,Finalización
Fecha 5,Huila,3  -  2,Pereira,Guillermo Plazas Alcid,2010,Finalización
Fecha 5,Medellín,2  -  1,Cortuluá,Atanasio Girardot,2010,Finalización
Fecha 5,Boyacá Chicó,0  -  0,La Equidad,De La Independencia,2010,Finalización
Fecha 5,Once Caldas,1  -  3,Tolima,El Verbel,2010,Finalización
Fecha 5,América de Cali,0  -  2,Cartagena,Doce de Octubre,2010,Finalización
Fecha 5,Quindío,2  -  0,Deportivo Cali,Alfonso López (Cartago),2010,Finalización
Fecha 5,Junior,4  -  2,Atlético Nacional,Metropolitano Roberto Meléndez,2010,Finalización
Fecha 6,Quindío,1  -  1,Independiente Medellín,Alfonso López (Cartago),2010,Finalización
Fecha 6,Deportivo Cali,2  -  2,Junior,Estadio Deportivo Cali,2010,Finalización
Fecha 6,Atlético Nacional,1  -  0,Cúcuta,Atanasio Girardot,2010,Finalización
Fecha 6,Pereira,0  -  1,Santa Fe,Alfonso López (Cartago),2010,Finalización
Fecha 6,Tolima,3  -  1,Boyacá Chicó,Manuel Murillo Toro,2010,Finalización
Fecha 6,La Equidad,4  -  1,Huila,Metropolitano de Techo,2010,Finalización
Fecha 6,Cartagena,1  -  0,Cortuluá,Jaime Morón León,2010,Finalización
Fecha 6,Envigado,1  -  3,América de Cali,Polideportivo Sur,2010,Finalización
Fecha 6,Millonarios,1  -  2,Once Caldas,El Campín,2010,Finalización
Fecha 7,Huila,3  -  1,Tolima,Guillermo Plazas Alcid,2010,Finalización
Fecha 7,América de Cali,1  -  1,Pereira,Doce de Octubre,2010,Finalización
Fecha 7,Once Caldas,2  -  3,Atlético Nacional,Metropolitano de Techo,2010,Finalización
Fecha 7,Independiente Medellín,1  -  1,Cartagena,Atanasio Girardot,2010,Finalización
Fecha 7,Santa Fe,0  -  1,La Equidad,El Campín,2010,Finalización
Fecha 7,Cortuluá,2  -  1,Envigado,Doce de Octubre,2010,Finalización
Fecha 7,Junior,0  -  2,Quindío,Metropolitano Roberto Meléndez,2010,Finalización
Fecha 7,Cúcuta,2  -  1,Deportivo Cali,General Santander,2010,Finalización
Fecha 7,Boyacá Chicó,1  -  1,Millonarios,De La Independencia,2010,Finalización
Fecha 8,La Equidad,0  -  2,América de Cali,Metropolitano de Techo,2010,Finalización
Fecha 8,Tolima,1  -  2,Santa Fe,Manuel Murillo Toro,2010,Finalización
Fecha 8,Atlético Nacional,2  -  0,Boyacá Chicó,Atanasio Girardot,2010,Finalización
Fecha 8,Junior,1  -  1,Independiente Medellín,Metropolitano Roberto Meléndez,2010,Finalización
Fecha 8,Quindío,1  -  0,Cúcuta,Centenario,2010,Finalización
Fecha 8,Deportivo Cali,5  -  3,Once Caldas,Estadio Deportivo Cali,2010,Finalización
Fecha 8,Pereira,0  -  0,Cortuluá,Alfonso López (Cartago),2010,Finalización
Fecha 8,Envigado,2  -  1,Cartagena,Polideportivo Sur,2010,Finalización
Fecha 8,Millonarios,1  -  2,Huila,Metropolitano de Techo,2010,Finalización
Fecha 9,Cortuluá,2  -  1,Quindío,Doce de Octubre,2010,Finalización
Fecha 9,Tolima,3  -  0,Huila,Manuel Murillo Toro,2010,Finalización
Fecha 9,Millonarios,0  -  0,Santa Fe,El Campín,2010,Finalización
Fecha 9,Envigado,1  -  1,Cúcuta,Polideportivo Sur,2010,Finalización
Fecha 9,Cartagena,1  -  1,Junior,Jaime Morón León,2010,Finalización
Fecha 9,Atlético Nacional,1  -  0,Independiente Medellín,Atanasio Girardot,2010,Finalización
Fecha 9,Pereira,0  -  0,Once Caldas,Alfonso López (Cartago),2010,Finalización
Fecha 9,La Equidad,1  -  1,Boyacá Chicó,Metropolitano de Techo,2010,Finalización
Fecha 9,América de Cali,1  -  2,Deportivo Cali,Doce de Octubre,2010,Finalización
Fecha 10,Independiente Medellín,2  -  2,Envigado,Atanasio Girardot,2010,Finalización
Fecha 10,Huila,2  -  2,Atlético Nacional,Guillermo Plazas Alcid,2010,Finalización
Fecha 10,América de Cali,1  -  0,Tolima,Doce de Octubre,2010,Finalización
Fecha 10,Cúcuta,3  -  3,Junior,General Santander,2010,Finalización
Fecha 10,Cartagena,1  -  0,Pereira,Jaime Morón León,2010,Finalización
Fecha 10,Cortuluá,2  -  2,La Equidad,Doce de Octubre,2010,Finalización
Fecha 10,Boyacá Chicó,1  -  0,Deportivo Cali,De La Independencia,2010,Finalización
