Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Independiente Medellín,1 : 1,Águilas Doradas,Atanasio Girardot,2021,Finalización
Fecha 1,América de Cali,3 : 1,Junior,Olímpico Pascual Guerrero,2021,Finalización
Fecha 1,Deportes Quindío,2 : 0,Jaguares,Centenario de Armenia,2021,Finalización
Fecha 1,Santa Fe,1 : 2,Deportivo Cali,Nemesio Camacho El Campín,2021,Finalización
Fecha 1,Envigado F. C.,2 : 2,Atlético Nacional,Polideportivo Sur,2021,Finalización
Fecha 1,Patriotas,0 : 2,Atlético Bucaramanga,La Independencia,2021,Finalización
Fecha 1,Deportivo Pasto,1 : 3,Millonarios,Departamental Libertad,2021,Finalización
Fecha 1,Deportes Tolima,1 : 0,Deportivo Pereira,Manuel Murillo Toro,2021,Finalización
Fecha 1,Once Caldas,1 : 0,Atlético Huila,Palogrande,2021,Finalización
Fecha 1,Alianza Petrolera,1 : 0,La Equidad,Daniel Villa Zapata,2021,Finalización
Fecha 2,Millonarios,2 : 1,Deportes Quindío,Nemesio Camacho El Campín,2021,Finalización
Fecha 2,Atlético Huila,2 : 2,Patriotas,Guillermo Plazas Alcid,2021,Finalización
Fecha 2,Águilas Doradas,1 : 3,América de Cali,Alberto Grisales,2021,Finalización
Fecha 2,Jaguares,1 : 1,Once Caldas,Jaraguay,2021,Finalización
Fecha 2,Atlético Nacional,1 : 0,Deportes Tolima,Atanasio Girardot,2021,Finalización
Fecha 2,Atlético Bucaramanga,4 : 3,Santa Fe,Alfonso López,2021,Finalización
Fecha 2,Junior,1 : 0,Envigado F. C.,Metropolitano Roberto Meléndez,2021,Finalización
Fecha 2,Deportivo Cali,0 : 0,Independiente Medellín,Deportivo Cali,2021,Finalización
Fecha 2,Deportivo Pereira,0 : 2,Alianza Petrolera,Hernán Ramírez Villegas,2021,Finalización
Fecha 2,La Equidad,0 : 0,Deportivo Pasto,Metropolitano de Techo,2021,Finalización
Fecha 3,Deportes Quindío,2 : 1,Águilas Doradas,Centenario de Armenia,2021,Finalización
Fecha 3,Deportes Tolima,1 : 1,Alianza Petrolera,Manuel Murillo Toro,2021,Finalización
Fecha 3,Deportivo Cali,1 : 2,Atlético Bucaramanga,Deportivo Cali,2021,Finalización
Fecha 3,Independiente Medellín,0 : 0,Junior,Atanasio Girardot,2021,Finalización
Fecha 3,Patriotas,1 : 0,La Equidad,La Independencia,2021,Finalización
Fecha 3,Envigado F. C.,1 : 0,América de Cali,Polideportivo Sur,2021,Finalización
Fecha 3,Once Caldas,0 : 2,Millonarios,Palogrande,2021,Finalización
Fecha 3,Jaguares,2 : 0,Atlético Huila,Jaraguay,2021,Finalización
Fecha 3,Deportivo Pasto,1 : 2,Deportivo Pereira,Departamental Libertad,2021,Finalización
Fecha 3,Santa Fe,0 : 1,Atlético Nacional,Nemesio Camacho El Campín,2021,Finalización
Fecha 4,Atlético Huila,0 : 0,Deportes Quindío,Guillermo Plazas Alcid,2021,Finalización
Fecha 4,América de Cali,1 : 0,Once Caldas,Olímpico Pascual Guerrero,2021,Finalización
Fecha 4,Atlético Nacional,2 : 0,Deportivo Cali,Atanasio Girardot,2021,Finalización
Fecha 4,Millonarios,0 : 1,Santa Fe,Nemesio Camacho El Campín,2021,Finalización
Fecha 4,La Equidad,0 : 0,Independiente Medellín,Metropolitano de Techo,2021,Finalización
Fecha 4,Junior,0 : 0,Deportes Tolima,Metropolitano Roberto Meléndez,2021,Finalización
Fecha 4,Alianza Petrolera,2 : 0,Deportivo Pasto,Daniel Villa Zapata,2021,Finalización
Fecha 4,Atlético Bucaramanga,0 : 1,Jaguares,Alfonso López,2021,Finalización
Fecha 4,Águilas Doradas,1 : 0,Patriotas,Alberto Grisales,2021,Finalización
Fecha 4,Deportivo Pereira,0 : 1,Envigado F. C.,Hernán Ramírez Villegas,2021,Finalización
Fecha 5,Deportes Tolima,1 : 0,Deportivo Pasto,Manuel Murillo Toro,2021,Finalización
Fecha 5,Envigado F. C.,2 : 1,Alianza Petrolera,Polideportivo Sur,2021,Finalización
Fecha 5,Independiente Medellín,2 : 0,América de Cali,Atanasio Girardot,2021,Finalización
Fecha 5,Deportivo Cali,2 : 2,Millonarios,Deportivo Cali,2021,Finalización
Fecha 5,Jaguares,1 : 1,Junior,Jaraguay,2021,Finalización
Fecha 5,Patriotas,0 : 3,Atlético Nacional,La Independencia,2021,Finalización
Fecha 5,Once Caldas,0 : 1,Deportivo Pereira,Palogrande,2021,Finalización
Fecha 5,Atlético Huila,0 : 2,Águilas Doradas,Guillermo Plazas Alcid,2021,Finalización
Fecha 5,Santa Fe,0 : 2,La Equidad,Nemesio Camacho El Campín,2021,Finalización
Fecha 5,Deportes Quindío,2 : 3,Atlético Bucaramanga,Centenario de Armenia,2021,Finalización
Fecha 6,América de Cali,0 : 0,Patriotas,Olímpico Pascual Guerrero,2021,Finalización
Fecha 6,Deportivo Pereira,1 : 1,Santa Fe,Hernán Ramírez Villegas,2021,Finalización
Fecha 6,Atlético Nacional,1 : 0,Deportes Quindío,Polideportivo Sur,2021,Finalización
Fecha 6,Junior,4 : 2,Once Caldas,Metropolitano Roberto Meléndez,2021,Finalización
Fecha 6,Millonarios,2 : 0,Independiente Medellín,Nemesio Camacho El Campín,2021,Finalización
Fecha 6,La Equidad,1 : 1,Deportes Tolima,Metropolitano de Techo,2021,Finalización
Fecha 6,Águilas Doradas,1 : 2,Jaguares,Alberto Grisales,2021,Finalización
Fecha 6,Alianza Petrolera,2 : 3,Deportivo Cali,Daniel Villa Zapata,2021,Finalización
