Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Deportes Tolima,2  :  2[n 1]​,Independiente Medellín,Manuel Murillo Toro,2020,colombiano
Fecha 1,Águilas Doradas,2  :  0,Jaguares,Alberto Grisales,2020,colombiano
Fecha 1,Once Caldas,0  :  0,Santa Fe,Palogrande,2020,colombiano
Fecha 1,Envigado F. C.,1  :  0,Boyacá Chicó,Polideportivo Sur,2020,colombiano
Fecha 1,Atlético Bucaramanga,0  :  2,Deportivo Cali,Daniel Villa Zapata,2020,colombiano
Fecha 1,Junior,2  :  0,La Equidad,Metropolitano Roberto Meléndez,2020,colombiano
Fecha 1,América de Cali,3  :  1,Alianza Petrolera,Olímpico Pascual Guerrero,2020,colombiano
Fecha 1,Patriotas,1  :  1,Cúcuta Deportivo,La Independencia,2020,colombiano
Fecha 1,Atlético Nacional,2  :  0,Deportivo Pereira,Atanasio Girardot,2020,colombiano
Fecha 1,Millonarios,1  :  2[n 1]​,Deportivo Pasto,Nemesio Camacho El Campín,2020,colombiano
Fecha 2,Once Caldas,1  :  1,Atlético Bucaramanga,Palogrande,2020,colombiano
Fecha 2,Independiente Medellín,2  :  1,Águilas Doradas,Atanasio Girardot,2020,colombiano
Fecha 2,Deportivo Cali,0  :  0,Junior,Deportivo Cali,2020,colombiano
Fecha 2,Jaguares,2  :  2,América de Cali,Jaraguay,2020,colombiano
Fecha 2,Boyacá Chicó,1  :  0[n 1]​,Patriotas,La Independencia,2020,colombiano
Fecha 2,La Equidad,3  :  4[n 1]​,Atlético Nacional,Nemesio Camacho El Campín,2020,colombiano
Fecha 2,Alianza Petrolera,1  :  0,Deportivo Pereira,Daniel Villa Zapata,2020,colombiano
Fecha 2,Santa Fe,1  :  1,Envigado F. C.,Nemesio Camacho El Campín,2020,colombiano
Fecha 2,Cúcuta Deportivo,1  :  1,Millonarios,General Santander,2020,colombiano
Fecha 2,Deportivo Pasto,1  :  3,Deportes Tolima,Departamental Libertad,2020,colombiano
Fecha 3,Atlético Bucaramanga,0  :  0,Deportes Tolima,Daniel Villa Zapata,2020,colombiano
Fecha 3,Junior,1  :  0[n 1]​,Independiente Medellín,Metropolitano Roberto Meléndez,2020,colombiano
