Fecha,Día,Hora,TV,Estadio,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,sab,16:00,Telmex-Une,Pascual Guerrero,América de Cali,2  -  2,Huila,2010,Apertura
Fecha 1,sab,18:20,RCN,El Campín,Millonarios,2  -  1,Atlético Nacional,2010,Apertura
Fecha 1,15:30,18:00,RCN,Manuel Murillo Toro,Tolima,3  -  1,Deportivo Cali,2010,Apertura
Fecha 2,sab,18:20,RCN,Pascual Guerrero,Deportivo Cali,4  -  1,Millonarios,2010,Apertura
Fecha 2,dom,18:00,RCN,El Campín,Santa Fe,2  -  0,América de Cali,2010,Apertura
Fecha 3,sab,18:20,RCN,Atanasio Girardot,Atlético Nacional,2  -  0,Deportivo Cali,2010,Apertura
Fecha 3,dom,15:30,Telmex-Une,Hernán Ramírez Villegas,Pereira,1  -  1,Once Caldas,2010,Apertura
Fecha 3,dom,18:00,RCN,Pascual Guerrero,América de Cali,1  -  0,Medellín,2010,Apertura
Fecha 4,mie,15:30,Une,De La Independencia,Boyacá Chicó,1  -  1,Pereira,2010,Apertura
Fecha 4,20:30,jue,20:30,Telmex-Une,Atanasio Girardot,Medellín,2 - 1,2010,Apertura
Fecha 5,sab,18:20,RCN,Atanasio Girardot,Atlético Nacional,1  -  0,Junior,2010,Apertura
Fecha 5,dom,17:45,RCN,Polideportivo Sur,Envigado,1  -  1,Santa Fe,2010,Apertura
Fecha 5,dom,24/3[31]​,20:30,Telmex-Une[32]​,Manuel Murillo Toro,Tolima,1 - 1,2010,Apertura
Fecha 6,sab,16:00,Telmex-Une,Doce de Octubre,Cortuluá,1  -  2,Cartagena,2010,Apertura
Fecha 6,sab,18:20,RCN,General Santander,Cúcuta,1  -  1,Atlético Nacional,2010,Apertura
Fecha 6,dom,16:00,Une,El Campín,Santa Fe,0  -  2,Pereira,2010,Apertura
Fecha 6,dom,17:45,RCN,Palogrande,Once Caldas,3  -  1,Millonarios,2010,Apertura
Fecha 7,mie,15:30,No,Metropolitano de Techo,La Equidad,1  -  2,Santa Fe,2010,Apertura
Fecha 7,20:30,24/3[34]​,20:30,No[32]​,El Campín,Millonarios,2 - 3,2010,Apertura
Fecha 8,sab,16:00,Telmex-Une,El Campín,Santa Fe,3  -  2,Tolima,2010,Apertura
Fecha 8,sab,18:20,RCN,Polideportivo Sur,Medellín,1  -  1,Junior,2010,Apertura
Fecha 8,dom,17:45,RCN,Guillermo Plazas Alcid,Huila,1  -  1,Millonarios,2010,Apertura
Fecha 9,sab,16:00,Telmex-Une,Guillermo Plazas Alcid,Huila,1  -  3,Tolima,2010,Apertura
Fecha 9,sab,18:20,RCN,El Campín,Santa Fe,2  -  1,Millonarios,2010,Apertura
Fecha 9,dom,17:45,RCN,Pascual Guerrero,Deportivo Cali,1  -  1,América de Cali,2010,Apertura
Fecha 9,dom,15/4[35]​,20:30,No,Atanasio Girardot,Medellín,2 - 1,2010,Apertura
Fecha 10,sab,18:20,RCN,Hernán Ramírez Villegas,Pereira,3  -  0,Cartagena,2010,Apertura
Fecha 10,sab,20:30,Telmex-Une,Estadio Pascual Guerrero,Deportivo Cali,3  -  0,Boyacá Chicó,2010,Apertura
Fecha 10,dom,15:00,Une,Polideportivo Sur,Envigado,1  -  7,Medellín,2010,Apertura
Fecha 10,15:30,17:45,RCN,El Campín,Millonarios,2  -  1,Santa Fe,2010,Apertura
Fecha 10,15:30,31/3,20:30,Telmex-Une,Polideportivo Sur,Atlético Nacional,2 - 1,2010,Apertura
Fecha 11,sab,16:00,Telmex-Une,Pascual Guerrero,América de Cali,3  -  2,Millonarios,2010,Apertura
Fecha 11,sab,18:20,RCN,El Campín,Santa Fe,3  -  0,Atlético Nacional,2010,Apertura
Fecha 11,dom,17:45,RCN,Palogrande,Once Caldas,1  -  0,Junior,2010,Apertura
Fecha 12,No,20:30,No,Hernán Ramírez Villegas,Pereira,1  -  2,Medellín,2010,Apertura
Fecha 12,20:30,jue,Telmex-Une,Estadio Pascual Guerrero,Deportivo Cali,0  -  1,Santa Fe,2010,Apertura
Fecha 13,sab,16:00,Telmex-Une,Guillermo Plazas Alcid,Huila,0  -  0,Junior,2010,Apertura
Fecha 13,sab,18:20,RCN,Jaime Morón León,Cartagena,1  -  0,Millonarios,2010,Apertura
Fecha 13,dom,17:45,RCN,Pascual Guerrero,América de Cali,1  -  2,Deportivo Cali,2010,Apertura
Fecha 14,sab,16:00,Telmex-Une,Palogrande,Once Caldas,3  -  3,Boyacá Chicó,2010,Apertura
Fecha 14,sab,18:20,RCN,Metropolitano Roberto Meléndez,Junior,2  -  0,Santa Fe,2010,Apertura
Fecha 14,sab,20:30,Telmex-Une,Manuel Murillo Toro,Tolima,1  -  0,Pereira,2010,Apertura
Fecha 14,dom,15:30,RCN,Alfonso López Pumarejo[36]​,La Equidad,2  -  1,Medellín,2010,Apertura
Fecha 14,dom,17:45,Telmex-Une,Atanasio Girardot,Atlético Nacional,4  -  2,Cartagena,2010,Apertura
Fecha 15,sab,18:20,RCN,Polideportivo Sur,Envigado,2  -  1,Atlético Nacional,2010,Apertura
Fecha 15,dom,17:45,RCN,Pascual Guerrero,América de Cali,2  -  2,Junior,2010,Apertura
Fecha 16,sab,16:00,Telmex-Une,Centenario,Quindío,0  -  0,Cartagena,2010,Apertura
Fecha 16,sab,18:20,RCN,Manuel Murillo Toro,Tolima,1  -  1,Medellín,2010,Apertura
Fecha 16,dom,17:45,RCN,Palogrande,Once Caldas,1  -  2,Santa Fe,2010,Apertura
Fecha 17,sab,16:00,No,Polideportivo Sur,Envigado,2  -  0,Quindío,2010,Apertura
Fecha 17,sab,18:20,RCN,El Campín[39]​,La Equidad,2  -  1,Atlético Nacional,2010,Apertura
Fecha 17,dom,17:45,RCN,El Campín,Santa Fe,2  -  3,Boyacá Chicó,2010,Apertura
Fecha 18,sab,16:00,Telmex-Une,Centenario,Quindío,1  -  0,Pereira,2010,Apertura
