Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Patriotas,0  :  1,Jaguares,La Independencia,2024,Apertura
Fecha 1,Deportivo Pereira,2  :  2,Deportivo Cali,Hernán Ramírez Villegas,2024,Apertura
Fecha 1,Once Caldas,2  :  1,Boyacá Chicó,Palogrande,2024,Apertura
Fecha 1,Deportes Tolima,1  :  2,Fortaleza CEIF,Manuel Murillo Toro,2024,Apertura
Fecha 1,América de Cali,0  :  1,Águilas Doradas,Olímpico Pascual Guerrero,2024,Apertura
Fecha 1,Millonarios,5  :  0,Independiente Medellín,Nemesio Camacho El Campín,2024,Apertura
Fecha 1,Junior,2  :  0,Atlético Bucaramanga,Metropolitano Roberto Meléndez,2024,Apertura
Fecha 1,Atlético Nacional,3  :  1,Alianza F. C.,Atanasio Girardot,2024,Apertura
Fecha 1,La Equidad,0  :  0,Envigado F. C.,Metropolitano de Techo,2024,Apertura
Fecha 1,Deportivo Pasto,0  :  1,Santa Fe,Departamental Libertad,2024,Apertura
Fecha 2,Fortaleza CEIF,2  :  0,Patriotas,Metropolitano de Techo,2024,Apertura
Fecha 2,Águilas Doradas,1  :  0,Once Caldas,Alberto Grisales,2024,Apertura
Fecha 2,Deportivo Pasto,1  :  4,Deportes Tolima,Departamental Libertad,2024,Apertura
Fecha 2,Alianza F. C.,3  :  3,Deportivo Cali,Armando Maestre Pavajeau,2024,Apertura
Fecha 2,Santa Fe,3  :  1,Envigado F. C.,Nemesio Camacho El Campín,2024,Apertura
Fecha 2,Jaguares,0  :  0,La Equidad,Jaraguay,2024,Apertura
Fecha 2,Independiente Medellín,1  :  0,Deportivo Pereira,Atanasio Girardot,2024,Apertura
Fecha 2,Boyacá Chicó,2  :  2,Junior,La Independencia,2024,Apertura
Fecha 2,América de Cali,4  :  1,Atlético Nacional,Olímpico Pascual Guerrero,2024,Apertura
Fecha 2,Atlético Bucaramanga,0  :  0,Millonarios,Alfonso López,2024,Apertura
Fecha 3,Patriotas,0  :  0,Águilas Doradas,La Independencia,2024,Apertura
Fecha 3,Deportivo Cali,2  :  0,Fortaleza CEIF,Deportivo Cali,2024,Apertura
Fecha 3,La Equidad,1  :  0,Santa Fe,Metropolitano de Techo,2024,Apertura
Fecha 3,Deportivo Pereira,0  :  1,Deportivo Pasto,Hernán Ramírez Villegas,2024,Apertura
Fecha 3,Millonarios,1  :  1,Alianza F. C.,Nemesio Camacho El Campín,2024,Apertura
Fecha 3,Deportes Tolima,2  :  1,América de Cali,Manuel Murillo Toro,2024,Apertura
Fecha 3,Envigado F. C.,2  :  0,Boyacá Chicó,Polideportivo Sur,2024,Apertura
Fecha 3,Atlético Nacional,1  :  1,Once Caldas,Atanasio Girardot,2024,Apertura
Fecha 3,Junior,3  :  0,Independiente Medellín,Metropolitano Roberto Meléndez,2024,Apertura
Fecha 3,Jaguares,0  :  1,Atlético Bucaramanga,Jaraguay,2024,Apertura
Fecha 4,Deportes Tolima,2  :  0,Millonarios,Manuel Murillo Toro,2024,Apertura
Fecha 4,América de Cali,1  :  0,Patriotas,Olímpico Pascual Guerrero,2024,Apertura
Fecha 4,Fortaleza CEIF,1  :  1,Envigado F. C.,Metropolitano de Techo,2024,Apertura
Fecha 4,Águilas Doradas,0  :  3,Atlético Nacional,Alberto Grisales,2024,Apertura
Fecha 4,Alianza F. C.,0  :  1,Junior,Armando Maestre Pavajeau,2024,Apertura
Fecha 4,Boyacá Chicó,1  :  2,Deportivo Pereira,La Independencia,2024,Apertura
Fecha 4,Deportivo Pasto,1  :  1,Jaguares,Departamental Libertad,2024,Apertura
Fecha 4,Independiente Medellín,1  :  0,Deportivo Cali,Atanasio Girardot,2024,Apertura
Fecha 4,Once Caldas,0  :  0,La Equidad,Palogrande,2024,Apertura
Fecha 4,Santa Fe,0  :  1,Atlético Bucaramanga,Nemesio Camacho El Campín,2024,Apertura
Fecha 5,Envigado F. C.,1  :  2,Alianza F. C.,Polideportivo Sur,2024,Apertura
Fecha 5,Millonarios,1  :  0,América de Cali,Nemesio Camacho El Campín,2024,Apertura
Fecha 5,Deportivo Pereira,2  :  0,Fortaleza CEIF,Hernán Ramírez Villegas,2024,Apertura
Fecha 5,Junior,2  :  0,Deportivo Pasto,Metropolitano Roberto Meléndez,2024,Apertura
Fecha 5,Patriotas,0  :  0,Atlético Nacional,La Independencia,2024,Apertura
Fecha 5,Jaguares,1  :  0,Águilas Doradas,Jaraguay,2024,Apertura
Fecha 5,Deportivo Cali,4  :  0,Boyacá Chicó,Deportivo Cali,2024,Apertura
Fecha 5,La Equidad,1  :  1,Deportes Tolima,Metropolitano de Techo,2024,Apertura
Fecha 5,Atlético Bucaramanga,1  :  1,Once Caldas,Alfonso López,2024,Apertura
Fecha 5,Independiente Medellín,1  :  1,Santa Fe,Atanasio Girardot,2024,Apertura
Fecha 6,Fortaleza CEIF,2  :  0,Junior,Metropolitano de Techo,2024,Apertura
Fecha 6,Atlético Nacional,0  :  1,Millonarios,Atanasio Girardot,2024,Apertura
Fecha 6,Alianza F. C.,1  :  2,Deportivo Pereira,Armando Maestre Pavajeau,2024,Apertura
Fecha 6,Deportivo Pasto,0  :  1,Envigado F. C.,Departamental Libertad,2024,Apertura
Fecha 6,Águilas Doradas,1  :  1,La Equidad,Alberto Grisales,2024,Apertura
Fecha 6,Santa Fe,1  :  0,Deportivo Cali,Nemesio Camacho El Campín,2024,Apertura
Fecha 6,Once Caldas,1  :  0,Patriotas,Palogrande,2024,Apertura
Fecha 6,Boyacá Chicó,3  :  0,Independiente Medellín,La Independencia,2024,Apertura
Fecha 6,Deportes Tolima,2  :  0,Jaguares,Manuel Murillo Toro,2024,Apertura
Fecha 6,América de Cali,0  :  0,Atlético Bucaramanga,Olímpico Pascual Guerrero,2024,Apertura
Fecha 7,Millonarios,0  :  1,Águilas Doradas,Nemesio Camacho El Campín,2024,Apertura
Fecha 7,Deportivo Cali,3  :  2,Atlético Nacional,Deportivo Cali,2024,Apertura
Fecha 7,Independiente Medellín,2  :  2,Fortaleza CEIF,Atanasio Girardot,2024,Apertura
Fecha 7,Deportivo Pereira,1  :  0,Santa Fe,Hernán Ramírez Villegas,2024,Apertura
Fecha 7,La Equidad,1  :  0,Patriotas,Metropolitano de Techo,2024,Apertura
Fecha 7,Envigado F. C.,1  :  1,América de Cali,Polideportivo Sur,2024,Apertura
Fecha 7,Jaguares,3  :  0,Once Caldas,Jaraguay,2024,Apertura
Fecha 7,Junior,0  :  1,Deportes Tolima,Metropolitano Roberto Meléndez,2024,Apertura
Fecha 7,Boyacá Chicó,1  :  0,Alianza F. C.,La Independencia,2024,Apertura
Fecha 7,Atlético Bucaramanga,1  :  0,Deportivo Pasto,Alfonso López,2024,Apertura
Fecha 8,Santa Fe,3  :  0,Junior,Nemesio Camacho El Campín,2024,Apertura
Fecha 8,Deportes Tolima,0  :  0,Atlético Bucaramanga,Manuel Murillo Toro,2024,Apertura
Fecha 8,América de Cali,0  :  1,La Equidad,Olímpico Pascual Guerrero,2024,Apertura
Fecha 8,Once Caldas,1  :  2,Deportivo Pereira,Palogrande,2024,Apertura
Fecha 8,Fortaleza CEIF,1  :  1,Boyacá Chicó,Metropolitano de Techo,2024,Apertura
Fecha 8,Águilas Doradas,2  :  0,Envigado F. C.,Alberto Grisales,2024,Apertura
Fecha 8,Deportivo Pasto,0  :  1,Deportivo Cali,Departamental Libertad,2024,Apertura
Fecha 8,Alianza F. C.,2  :  0,Independiente Medellín,Armando Maestre Pavajeau,2024,Apertura
Fecha 8,Patriotas,1  :  0,Millonarios,La Independencia,2024,Apertura
Fecha 8,Atlético Nacional,2  :  0,Jaguares,Atanasio Girardot,2024,Apertura
Fecha 9,Jaguares,1  :  1,América de Cali,Jaraguay,2024,Apertura
