Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Atlético Huila,2  :  3,Atlético Nacional,Guillermo Plazas Alcid,2013,Finalización
Fecha 1,Cúcuta Deportivo,1  :  2,Itagüí,General Santander,2013,Finalización
Fecha 1,Boyacá Chicó,0  :  0,Patriotas,La Independencia,2013,Finalización
Fecha 1,Deportivo Pasto,1  :  0,Deportes Quindío,Departamental Libertad,2013,Finalización
Fecha 1,La Equidad,1  :  1,Millonarios,Metropolitano de Techo,2013,Finalización
Fecha 1,Independiente Medellín,1  :  1,Deportes Tolima,Atanasio Girardot,2013,Finalización
Fecha 1,Once Caldas,0  :  3,Deportivo Cali,Palogrande,2013,Finalización
Fecha 1,Envigado,0  :  1,Junior,Polideportivo Sur,2013,Finalización
Fecha 1,Santa Fe,2  :  2,Alianza Petrolera,Nemesio Camacho El Campín,2013,Finalización
Fecha 2,Deportivo Cali,1  :  1,Boyacá Chicó,Deportivo Cali,2013,Finalización
Fecha 2,Itagüí,1  :  0,Atlético Huila,Metropolitano Ciudad de Itagüí,2013,Finalización
Fecha 2,Patriotas,1  :  1,Deportivo Pasto,La Independencia,2013,Finalización
Fecha 2,Atlético Nacional,1  :  1,Santa Fe,Atanasio Girardot,2013,Finalización
Fecha 2,Junior,1  :  0,Once Caldas,Metropolitano Roberto Meléndez,2013,Finalización
Fecha 2,Alianza Petrolera,1  :  2,La Equidad,Álvaro Gómez Hurtado,2013,Finalización
Fecha 2,Deportes Quindío,0  :  3[n 2]​,Cúcuta Deportivo,Centenario,2013,Finalización
Fecha 2,Deportes Tolima,1  :  0,Envigado,Manuel Murillo Toro,2013,Finalización
Fecha 2,Millonarios,2  :  2,Independiente Medellín,Nemesio Camacho El Campín,2013,Finalización
Fecha 3,Cúcuta Deportivo,2  :  3,Patriotas,General Santander,2013,Finalización
Fecha 3,Alianza Petrolera,1  :  2,Atlético Nacional,Álvaro Gómez Hurtado,2013,Finalización
Fecha 3,Santa Fe,2  :  1,Itagüí,Nemesio Camacho El Campín,2013,Finalización
