Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,5 de febrero de 2006,América de Cali,0  -  3,Deportivo Cali,2006,Apertura
Fecha 1,5 de febrero de 2006,Atlético Huila,1  -  1,Millonarios,2006,Apertura
Fecha 1,5 de febrero de 2006,Deportivo Pasto,1  -  1,Pereira,2006,Apertura
Fecha 1,5 de febrero de 2006,Deportes Quindío,1  -  0,Real Cartagena,2006,Apertura
Fecha 1,5 de febrero de 2006,Independiente Medellín,2  -  0,Atlético Bucaramanga,2006,Apertura
Fecha 1,5 de febrero de 2006,Cúcuta Deportivo,3  -  2,Atlético Nacional,2006,Apertura
Fecha 1,5 de febrero de 2006,Junior,3  -  2,Envigado F. C.,2006,Apertura
Fecha 1,5 de febrero de 2006,Once Caldas,2  -  2,Boyacá Chicó,2006,Apertura
Fecha 1,5 de febrero de 2006,Santa Fe,0  -  2,Deportes Tolima,2006,Apertura
Fecha 2,12 de febrero de 2006,Millonarios,1  -  0,Deportivo Pasto,2006,Apertura
Fecha 2,12 de febrero de 2006,Deportes Tolima,2  -  0,Atlético Huila,2006,Apertura
Fecha 2,12 de febrero de 2006,Boyacá Chicó,2  -  0,Santa Fe,2006,Apertura
Fecha 2,12 de febrero de 2006,Envigado F. C.,1  -  1,Once Caldas,2006,Apertura
Fecha 2,12 de febrero de 2006,Atlético Nacional,2  -  2,Junior,2006,Apertura
Fecha 2,12 de febrero de 2006,Deportivo Cali,0  -  2,Cúcuta Deportivo,2006,Apertura
Fecha 2,12 de febrero de 2006,Atlético Bucaramanga,1  -  0,América de Cali,2006,Apertura
Fecha 2,12 de febrero de 2006,Real Cartagena,2  -  2,Independiente Medellín,2006,Apertura
Fecha 2,12 de febrero de 2006,Pereira,1  -  0,Deportes Quindío,2006,Apertura
Fecha 3,19 de febrero de 2006,Once Caldas,1  -  0,Atlético Nacional,2006,Apertura
Fecha 3,19 de febrero de 2006,Deportivo Pasto,4  -  1,Atlético Huila,2006,Apertura
Fecha 3,19 de febrero de 2006,Deportes Quindío,1  -  1,Millonarios,2006,Apertura
Fecha 3,19 de febrero de 2006,Independiente Medellín,1  -  0,Pereira,2006,Apertura
Fecha 3,19 de febrero de 2006,América de Cali,2  -  1,Real Cartagena,2006,Apertura
Fecha 3,19 de febrero de 2006,Cúcuta Deportivo,1  -  1,Atlético Bucaramanga,2006,Apertura
Fecha 3,19 de febrero de 2006,Junior,0  -  0,Deportivo Cali,2006,Apertura
Fecha 3,19 de febrero de 2006,Santa Fe,3  -  3,Envigado F. C.,2006,Apertura
Fecha 3,19 de febrero de 2006,Deportes Tolima,3  -  1,Boyacá Chicó,2006,Apertura
Fecha 4,26 de febrero de 2006,Atlético Nacional,2  -  1,Santa Fe,2006,Apertura
Fecha 4,26 de febrero de 2006,Atlético Huila,3  -  1,Boyacá Chicó,2006,Apertura
Fecha 4,26 de febrero de 2006,Real Cartagena,0  -  1,Cúcuta Deportivo,2006,Apertura
Fecha 4,26 de febrero de 2006,Millonarios,3  -  0,Independiente Medellín,2006,Apertura
Fecha 4,26 de febrero de 2006,Pereira,2  -  2,América de Cali,2006,Apertura
Fecha 4,26 de febrero de 2006,Atlético Bucaramanga,2  -  0,Junior,2006,Apertura
Fecha 4,26 de febrero de 2006,Deportivo Cali,1  -  2,Once Caldas,2006,Apertura
Fecha 4,26 de febrero de 2006,Deportivo Pasto,2  -  3,Deportes Quindío,2006,Apertura
Fecha 4,26 de febrero de 2006,Envigado F. C.,3  -  7,Deportes Tolima,2006,Apertura
Fecha 5,5 de marzo de 2006,América de Cali,1  -  0,Millonarios,2006,Apertura
Fecha 5,5 de marzo de 2006,Deportes Quindío,2  -  0,Atlético Huila,2006,Apertura
Fecha 5,5 de marzo de 2006,Independiente Medellín,2  -  2,Deportivo Pasto,2006,Apertura
Fecha 5,5 de marzo de 2006,Cúcuta Deportivo,0  -  1,Pereira,2006,Apertura
Fecha 5,5 de marzo de 2006,Junior,2  -  0,Real Cartagena,2006,Apertura
Fecha 5,5 de marzo de 2006,Once Caldas,1  -  0,Atlético Bucaramanga,2006,Apertura
Fecha 5,5 de marzo de 2006,Santa Fe,2  -  1,Deportivo Cali,2006,Apertura
Fecha 5,5 de marzo de 2006,Deportes Tolima,5  -  1,Atlético Nacional,2006,Apertura
Fecha 5,5 de marzo de 2006,Boyacá Chicó,0  -  0,Envigado F. C.,2006,Apertura
Fecha 6,8 de marzo de 2006,Atlético Bucaramanga,2  -  1,Santa Fe,2006,Apertura
Fecha 6,8 de marzo de 2006,Atlético Huila,1  -  0,Envigado F. C.,2006,Apertura
Fecha 6,8 de marzo de 2006,Atlético Nacional,1  -  0,Boyacá Chicó,2006,Apertura
Fecha 6,8 de marzo de 2006,Deportivo Cali,2  -  1,Deportes Tolima,2006,Apertura
Fecha 6,8 de marzo de 2006,Real Cartagena,1  -  2,Once Caldas,2006,Apertura
Fecha 6,8 de marzo de 2006,Pereira,1  -  0,Junior,2006,Apertura
Fecha 6,8 de marzo de 2006,Millonarios,1  -  0,Cúcuta Deportivo,2006,Apertura
Fecha 6,8 de marzo de 2006,Deportivo Pasto,2  -  1,América de Cali,2006,Apertura
Fecha 6,8 de marzo de 2006,Deportes Quindío,2  -  0,Independiente Medellín,2006,Apertura
Fecha 7,15 de marzo de 2006,Envigado F. C.,1  -  0,Atlético Nacional,2006,Apertura
Fecha 7,15 de marzo de 2006,Independiente Medellín,0  -  1,Atlético Huila,2006,Apertura
Fecha 7,15 de marzo de 2006,América de Cali,0  -  1,Deportes Quindío,2006,Apertura
Fecha 7,15 de marzo de 2006,Cúcuta Deportivo,3  -  1,Deportivo Pasto,2006,Apertura
Fecha 7,15 de marzo de 2006,Junior,4  -  4,Millonarios,2006,Apertura
Fecha 7,15 de marzo de 2006,Once Caldas,2  -  1,Pereira,2006,Apertura
Fecha 7,15 de marzo de 2006,Santa Fe,2  -  1,Real Cartagena,2006,Apertura
Fecha 7,15 de marzo de 2006,Deportes Tolima,0  -  0,Atlético Bucaramanga,2006,Apertura
Fecha 7,15 de marzo de 2006,Boyacá Chicó,1  -  1,Deportivo Cali,2006,Apertura
Fecha 8,19 de marzo de 2006,Independiente Medellín,2  -  3,América de Cali,2006,Apertura
Fecha 8,19 de marzo de 2006,Atlético Huila,1  -  0,Atlético Nacional,2006,Apertura
Fecha 8,19 de marzo de 2006,Deportivo Cali,0  -  1,Envigado F. C.,2006,Apertura
Fecha 8,19 de marzo de 2006,Atlético Bucaramanga,1  -  0,Boyacá Chicó,2006,Apertura
Fecha 8,19 de marzo de 2006,Real Cartagena,1  -  2,Deportes Tolima,2006,Apertura
Fecha 8,19 de marzo de 2006,Pereira,1  -  1,Santa Fe,2006,Apertura
Fecha 8,19 de marzo de 2006,Millonarios,1  -  1,Once Caldas,2006,Apertura
Fecha 8,19 de marzo de 2006,Deportivo Pasto,2  -  0,Junior,2006,Apertura
Fecha 8,19 de marzo de 2006,Deportes Quindío,0  -  1,Cúcuta Deportivo,2006,Apertura
Fecha 9,26 de marzo de 2006,Millonarios,3  -  3,Santa Fe,2006,Apertura
Fecha 9,26 de marzo de 2006,Deportivo Cali,1  -  1,América de Cali,2006,Apertura
Fecha 9,26 de marzo de 2006,Atlético Nacional,2  -  1,Independiente Medellín,2006,Apertura
Fecha 9,26 de marzo de 2006,Real Cartagena,1  -  2,Junior,2006,Apertura
Fecha 9,26 de marzo de 2006,Atlético Huila,1  -  4,Deportes Tolima,2006,Apertura
Fecha 9,26 de marzo de 2006,Pereira,0  -  0,Once Caldas,2006,Apertura
Fecha 9,26 de marzo de 2006,Atlético Bucaramanga,2  -  1,Cúcuta Deportivo,2006,Apertura
Fecha 9,26 de marzo de 2006,Envigado F. C.,2  -  0,Deportes Quindío,2006,Apertura
Fecha 9,26 de marzo de 2006,Boyacá Chicó,0  -  0,Deportivo Pasto,2006,Apertura
