Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Atlético Bucaramanga,0 : 0,Envigado F. C.,Alfonso López,2023,Apertura
Fecha 1,Unión Magdalena,2 : 1,Atlético Huila,Sierra Nevada,2023,Apertura
Fecha 1,Águilas Doradas,1 : 1,Junior,Alberto Grisales,2023,Apertura
Fecha 1,Boyacá Chicó,2 : 0,Alianza Petrolera,La Independencia,2023,Apertura
Fecha 1,Deportes Tolima,2 : 1,América de Cali,Manuel Murillo Toro,2023,Apertura
Fecha 1,Atlético Nacional,1 : 0,Once Caldas,Atanasio Girardot,2023,Apertura
Fecha 1,Jaguares,2 : 2,Santa Fe,Jaraguay,2023,Apertura
Fecha 1,La Equidad,2 : 1,Independiente Medellín,Metropolitano de Techo,2023,Apertura
Fecha 1,Deportivo Cali,0 : 1,Deportivo Pereira,Deportivo Cali,2023,Apertura
Fecha 1,Millonarios,2 : 0,Deportivo Pasto,Nemesio Camacho El Campín,2023,Apertura
Fecha 2,Envigado F. C.,1 : 1,La Equidad,Metropolitano Ciudad de Itagüí,2023,Apertura
Fecha 2,Atlético Huila,1 : 2,Atlético Bucaramanga,Guillermo Plazas Alcid,2023,Apertura
Fecha 2,Atlético Nacional,0 : 0,Águilas Doradas,Atanasio Girardot,2023,Apertura
Fecha 2,Deportivo Pereira,2 : 3,Millonarios,Hernán Ramírez Villegas,2023,Apertura
Fecha 2,Junior,1 : 1,Independiente Medellín,Metropolitano Roberto Meléndez,2023,Apertura
Fecha 2,Once Caldas,1 : 1,Deportes Tolima,Palogrande,2023,Apertura
Fecha 2,Boyacá Chicó,1 : 0,Jaguares,La Independencia,2023,Apertura
Fecha 2,América de Cali,4 : 0,Unión Magdalena,Olímpico Pascual Guerrero,2023,Apertura
Fecha 2,Alianza Petrolera,3 : 1,Deportivo Pasto,Daniel Villa Zapata,2023,Apertura
Fecha 2,Santa Fe,3 : 0,Deportivo Cali,Nemesio Camacho El Campín,2023,Apertura
Fecha 3,Deportivo Pereira,2 : 1,Atlético Huila,Hernán Ramírez Villegas,2023,Apertura
Fecha 3,Independiente Medellín,1 : 1,Santa Fe,Atanasio Girardot,2023,Apertura
Fecha 3,Jaguares,2 : 1,Atlético Nacional,Jaraguay,2023,Apertura
Fecha 3,Deportivo Pasto,2 : 4,América de Cali,Departamental Libertad,2023,Apertura
Fecha 3,Deportivo Cali,0 : 0,Once Caldas,Deportivo Cali,2023,Apertura
Fecha 3,Atlético Bucaramanga,1 : 0,Junior,Alfonso López,2023,Apertura
Fecha 3,Unión Magdalena,1 : 1,Envigado F. C.,Sierra Nevada,2023,Apertura
Fecha 3,Águilas Doradas,4 : 2,Deportes Tolima,Alberto Grisales,2023,Apertura
Fecha 3,La Equidad,2 : 2,Boyacá Chicó,Metropolitano de Techo,2023,Apertura
Fecha 3,Millonarios,3 : 1,Alianza Petrolera,Nemesio Camacho El Campín,2023,Apertura
Fecha 4,Junior,0 : 0,Unión Magdalena,Metropolitano Roberto Meléndez,2023,Apertura
Fecha 4,Alianza Petrolera,2 : 0,Atlético Huila,Daniel Villa Zapata,2023,Apertura
Fecha 4,Jaguares,1 : 1,Atlético Bucaramanga,Jaraguay,2023,Apertura
Fecha 4,Envigado F. C.,2 : 1,Independiente Medellín,Metropolitano Ciudad de Itagüí,2023,Apertura
Fecha 4,Once Caldas,1 : 2,Águilas Doradas,Palogrande,2023,Apertura
Fecha 4,América de Cali,1 : 1,La Equidad,Olímpico Pascual Guerrero,2023,Apertura
Fecha 4,Boyacá Chicó,3 : 1,Deportivo Pereira,La Independencia,2023,Apertura
