Fecha,Local,Resultado,Visitante,Estadio,Año,Tipo de Torneo
Fecha 1,Tolima,2 : 1,Patriotas,Manuel Murillo Toro,2012,Finalización
Fecha 1,Cúcuta,2 : 1,Envigado,Santiago de las Atalayas,2012,Finalización
Fecha 1,Real Cartagena,1 : 2,Once Caldas,Jaime Morón León,2012,Finalización
Fecha 1,Cali,3 : 1,Nacional,Pascual Guerrero,2012,Finalización
Fecha 1,Medellín,1 : 0,Pasto,Atanasio Girardot,2012,Finalización
Fecha 1,Boyacá Chicó,2 : 0,Huila,La Independencia,2012,Finalización
Fecha 1,Itagüí,3 : 0,La Equidad,Ciudad de Itagüí,2012,Finalización
Fecha 1,Quindío,0 : 0,Junior,Centenario,2012,Finalización
Fecha 1,Millonarios,2 : 0,Santa Fe,El Campín,2012,Finalización
Fecha 2,Pasto,3 : 0,Quindío,Libertad,2012,Finalización
Fecha 2,Patriotas,1 : 1,Cúcuta,La Independencia,2012,Finalización
Fecha 2,Junior,1 : 0,Real Cartagena,Metropolitano,2012,Finalización
Fecha 2,Once Caldas,1 : 0,Cali,Palogrande,2012,Finalización
Fecha 2,Envigado,1 : 0,Medellín,Polideportivo Sur,2012,Finalización
Fecha 2,Huila,0 : 4,Millonarios,Guillermo Plazas Alcid,2012,Finalización
Fecha 2,Santa Fe,2 : 1,Tolima,El Campín,2012,Finalización
Fecha 2,La Equidad,1 : 1,Boyacá Chicó,Metropolitano de Techo,2012,Finalización
Fecha 2,Nacional,1 : 1,Itagüí,Atanasio Girardot,2012,Finalización
Fecha 3,Quindío,1 : 0,Envigado,Centenario,2012,Finalización
Fecha 3,Itagüí,1 : 0,Once Caldas,Ciudad de Itagüí,2012,Finalización
Fecha 3,Tolima,1 : 1,Huila,Manuel Murillo Toro,2012,Finalización
Fecha 3,Millonarios,2 : 0,La Equidad,El Campín,2012,Finalización
Fecha 3,Junior,2 : 0,Pasto,Metropolitano,2012,Finalización
Fecha 3,Boyacá Chicó,1 : 1,Nacional,La Independencia,2012,Finalización
Fecha 3,Cali,2 : 0,Real Cartagena,Pascual Guerrero,2012,Finalización
Fecha 3,Cúcuta,4 : 0,Santa Fe,Santiago de las Atalayas,2012,Finalización
Fecha 3,Medellín,2 : 0,Patriotas,Atanasio Girardot,2012,Finalización
Fecha 4,Huila,0 : 0,Cúcuta,Guillermo Plazas Alcid,2012,Finalización
Fecha 4,Patriotas,2 : 2,Quindío,La Independencia,2012,Finalización
Fecha 4,Santa Fe,1 : 1,Medellín,El Campín,2012,Finalización
Fecha 4,Envigado,1 : 2,Pasto,Polideportivo Sur,2012,Finalización
Fecha 4,Nacional,0 : 0,Millonarios,Atanasio Girardot,2012,Finalización
Fecha 4,Real Cartagena,3 : 1,Itagüí,Jaime Morón León,2012,Finalización
Fecha 4,Cali,1 : 1,Junior,Pascual Guerrero,2012,Finalización
Fecha 4,La Equidad,1 : 0,Tolima,Metropolitano de Techo,2012,Finalización
Fecha 4,Once Caldas,5 : 2,Boyacá Chicó,Palogrande,2012,Finalización
Fecha 5,Medellín,0 : 0,Huila,Atanasio Girardot,2012,Finalización
Fecha 5,Itagüí,2 : 0,Cali,Ciudad de Itagüí,2012,Finalización
Fecha 5,Deportes Tolima,1 : 3,Nacional,Manuel Murillo Toro,2012,Finalización
Fecha 5,Pasto,1 : 1,Patriotas,Departamental Libertad,2012,Finalización
Fecha 5,Quindío,1 : 0,Santa Fe,Centenario,2012,Finalización
Fecha 5,Junior,2 : 0,Envigado,Metropolitano,2012,Finalización
Fecha 5,Cúcuta,1 : 3,La Equidad,Santiago de las Atalayas,2012,Finalización
Fecha 5,Millonarios,2 : 1,Once Caldas,El Campín,2012,Finalización
Fecha 5,Boyacá Chicó,3 : 0,Real Cartagena,La Independencia,2012,Finalización
Fecha 6,Huila,0 : 1,Quindío,Guillermo Plazas Alcid,2012,Finalización
Fecha 6,Santa Fe,2 : 0,Pasto,El Campín,2012,Finalización
