Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,4 de febrero de 2007,Santa Fe,0  -  0,Junior,2007,Apertura
Fecha 1,4 de febrero de 2007,Deportivo Cali,3  -  2,Quindío,2007,Apertura
Fecha 1,4 de febrero de 2007,Pereira,1  -  1,Bucaramanga,2007,Apertura
Fecha 1,4 de febrero de 2007,Boyacá Chicó,2  -  1,América de Cali,2007,Apertura
Fecha 1,4 de febrero de 2007,Cúcuta,4  -  1,Once Caldas,2007,Apertura
Fecha 1,4 de febrero de 2007,La Equidad,3  -  4,Atlético Nacional,2007,Apertura
Fecha 1,4 de febrero de 2007,Medellín,2  -  1,Pasto,2007,Apertura
Fecha 1,4 de febrero de 2007,Cartagena,0  -  0,Millonarios,2007,Apertura
Fecha 1,4 de febrero de 2007,Huila,2  -  3,Tolima,2007,Apertura
Fecha 2,11 de febrero de 2007,Atlético Nacional,2  -  0,Santa Fe,2007,Apertura
Fecha 2,11 de febrero de 2007,Once Caldas,1  -  1,Pereira,2007,Apertura
Fecha 2,11 de febrero de 2007,Quindío,0  -  1,Cúcuta,2007,Apertura
Fecha 2,11 de febrero de 2007,Pasto,0  -  0,Deportivo Cali,2007,Apertura
Fecha 2,11 de febrero de 2007,Tolima,0  -  0,Cartagena,2007,Apertura
Fecha 2,11 de febrero de 2007,Junior,2  -  1,Huila,2007,Apertura
Fecha 2,11 de febrero de 2007,América de Cali,1  -  1,La Equidad,2007,Apertura
Fecha 2,11 de febrero de 2007,Bucaramanga,2  -  1,Boyacá Chicó,2007,Apertura
Fecha 2,11 de febrero de 2007,Millonarios,5  -  1,Medellín,2007,Apertura
Fecha 3,18 de febrero de 2007,Huila,2  -  2,Atlético Nacional,2007,Apertura
Fecha 3,18 de febrero de 2007,Boyacá Chicó,2  -  0,Pereira,2007,Apertura
Fecha 3,18 de febrero de 2007,La Equidad,1  -  1,Bucaramanga,2007,Apertura
Fecha 3,18 de febrero de 2007,Cartagena,1  -  1,Junior,2007,Apertura
Fecha 3,18 de febrero de 2007,Medellín,2  -  1,Tolima,2007,Apertura
Fecha 3,18 de febrero de 2007,Cúcuta,2  -  0,Pasto,2007,Apertura
Fecha 3,18 de febrero de 2007,Once Caldas,1  -  0,Quindío,2007,Apertura
Fecha 3,18 de febrero de 2007,Deportivo Cali,2  -  0,Millonarios,2007,Apertura
Fecha 3,18 de febrero de 2007,Santa Fe,2  -  0,América de Cali,2007,Apertura
Fecha 4,25 de febrero de 2007,Tolima,1  -  1,Deportivo Cali,2007,Apertura
Fecha 4,25 de febrero de 2007,Pereira,0  -  1,Quindío,2007,Apertura
Fecha 4,25 de febrero de 2007,Pasto,3  -  2,Once Caldas,2007,Apertura
Fecha 4,25 de febrero de 2007,Junior,1  -  2,Medellín,2007,Apertura
Fecha 4,25 de febrero de 2007,América de Cali,2  -  1,Huila,2007,Apertura
Fecha 4,25 de febrero de 2007,Bucaramanga,1  -  1,Santa Fe,2007,Apertura
Fecha 4,25 de febrero de 2007,Boyacá Chicó,0  -  0,La Equidad,2007,Apertura
Fecha 4,25 de febrero de 2007,Atlético Nacional,1  -  0,Cartagena,2007,Apertura
Fecha 4,25 de febrero de 2007,Millonarios,1  -  1,Cúcuta,2007,Apertura
Fecha 5,4 de marzo de 2007,Deportivo Cali,4  -  1,Junior,2007,Apertura
Fecha 5,4 de marzo de 2007,La Equidad,3  -  3,Pereira,2007,Apertura
Fecha 5,4 de marzo de 2007,Santa Fe,1  -  0,Boyacá Chicó,2007,Apertura
Fecha 5,4 de marzo de 2007,Huila,2  -  1,Bucarramanga,2007,Apertura
Fecha 5,4 de marzo de 2007,Cartagena,2  -  2,América de Cali,2007,Apertura
Fecha 5,4 de marzo de 2007,Medellín,2  -  2,Atlético Nacional,2007,Apertura
Fecha 5,4 de marzo de 2007,Cúcuta,2  -  1,Tolima,2007,Apertura
Fecha 5,4 de marzo de 2007,Once Caldas,2  -  0,Millonarios,2007,Apertura
Fecha 5,4 de marzo de 2007,Quindío,2  -  0,Pasto,2007,Apertura
Fecha 6,11 de marzo de 2007,Atlético Nacional,0  -  2,Deportivo Cali,2007,Apertura
Fecha 6,11 de marzo de 2007,Bucaramanga,1  -  0,Cartagena,2007,Apertura
Fecha 6,11 de marzo de 2007,Junior,2  -  1,Cúcuta,2007,Apertura
Fecha 6,11 de marzo de 2007,América de Cali,1  -  1,Medellín,2007,Apertura
Fecha 6,11 de marzo de 2007,Pereira,0  -  1,Pasto,2007,Apertura
Fecha 6,11 de marzo de 2007,Tolima,3  -  1,Once Caldas,2007,Apertura
Fecha 6,11 de marzo de 2007,La Equidad,1  -  2,Santa Fe,2007,Apertura
Fecha 6,11 de marzo de 2007,Millonarios,1  -  1,Quindío,2007,Apertura
Fecha 6,11 de marzo de 2007,Boyacá Chicó,1  -  0,Huila,2007,Apertura
Fecha 7,18 de marzo de 2007,Cúcuta,1  -  1,Atlético Nacional,2007,Apertura
Fecha 7,18 de marzo de 2007,Santa Fe,2  -  0,Pereira,2007,Apertura
Fecha 7,18 de marzo de 2007,Huila,2  -  0,La Equidad,2007,Apertura
Fecha 7,18 de marzo de 2007,Cartagena,1  -  0,Boyacá Chicó,2007,Apertura
Fecha 7,18 de marzo de 2007,Medellín,1  -  2,Bucaramanga,2007,Apertura
Fecha 7,18 de marzo de 2007,Deportivo Cali,2  -  2,América de Cali,2007,Apertura
Fecha 7,18 de marzo de 2007,Once Caldas,1  -  1,Junior,2007,Apertura
Fecha 7,18 de marzo de 2007,Quindío,1  -  2,Tolima,2007,Apertura
Fecha 7,18 de marzo de 2007,Pasto,0  -  1,Millonarios,2007,Apertura
Fecha 8,25 de marzo de 2007,Tolima,1  -  2,Pasto,2007,Apertura
Fecha 8,25 de marzo de 2007,Bucaramanga,2  -  0,Deportivo Cali,2007,Apertura
Fecha 8,25 de marzo de 2007,Pereira,1  -  1,Millonarios,2007,Apertura
Fecha 8,25 de marzo de 2007,Junior,3  -  2,Quindío,2007,Apertura
Fecha 8,25 de marzo de 2007,Atlético Nacional,2  -  0,Once Caldas,2007,Apertura
Fecha 8,25 de marzo de 2007,América de Cali,1  -  2,Cúcuta,2007,Apertura
Fecha 8,25 de marzo de 2007,Boyacá Chicó,2  -  1,Medellín,2007,Apertura
Fecha 8,25 de marzo de 2007,La Equidad,2  -  0,Cartagena,2007,Apertura
Fecha 8,25 de marzo de 2007,Santa Fe,1  -  0,Huila,2007,Apertura
Fecha 9,1 de abril de 2007,Atlético Nacional,2  -  2,Medellín,2007,Apertura
Fecha 9,1 de abril de 2007,Pasto,2  -  0,La Equidad,2007,Apertura
Fecha 9,1 de abril de 2007,Junior,2  -  2,Cartagena,2007,Apertura
Fecha 9,1 de abril de 2007,Bucaramanga,1  -  2,Cúcuta,2007,Apertura
Fecha 9,1 de abril de 2007,América de Cali,0  -  2,Deportivo Cali,2007,Apertura
Fecha 9,1 de abril de 2007,Tolima,1  -  2,Huila,2007,Apertura
Fecha 9,1 de abril de 2007,Quindío,1  -  2,Boyacá Chicó,2007,Apertura
Fecha 9,1 de abril de 2007,Pereira,0  -  0,Once Caldas,2007,Apertura
Fecha 9,1 de abril de 2007,Millonarios,4  -  2,Santa Fe,2007,Apertura
Fecha 10,8 de abril de 2007,Millonarios,2  -  0,Tolima,2007,Apertura
Fecha 10,8 de abril de 2007,Huila,1  -  0,Pereira,2007,Apertura
Fecha 10,8 de abril de 2007,Cartagena,2  -  1,Santa Fe,2007,Apertura
Fecha 10,8 de abril de 2007,Medellín,2  -  1,La Equidad,2007,Apertura
Fecha 10,8 de abril de 2007,Deportivo Cali,2  -  2,Boyacá Chicó,2007,Apertura
Fecha 10,8 de abril de 2007,Cúcuta,2  -  0,Bucaramanga,2007,Apertura
Fecha 10,8 de abril de 2007,Once Caldas,2  -  3,América de Cali,2007,Apertura
Fecha 10,8 de abril de 2007,Quindío,2  -  1,Atlético Nacional,2007,Apertura
Fecha 10,8 de abril de 2007,Pasto,1  -  1,Junior,2007,Apertura
Fecha 11,11 de abril de 2007,Junior,1  -  1,Millonarios,2007,Apertura
Fecha 11,11 de abril de 2007,Atlético Nacional,1  -  1,Pasto,2007,Apertura
Fecha 11,11 de abril de 2007,América de Cali,0  -  0,Quindío,2007,Apertura
Fecha 11,11 de abril de 2007,Bucaramanga,0  -  0,Once Caldas,2007,Apertura
Fecha 11,11 de abril de 2007,Boyacá Chicó,1  -  0,Cúcuta,2007,Apertura
Fecha 11,11 de abril de 2007,La Equidad,0  -  1,Deportivo Cali,2007,Apertura
Fecha 11,11 de abril de 2007,Santa Fe,2  -  4,Medellín,2007,Apertura
Fecha 11,11 de abril de 2007,Huila,2  -  0,Cartagena,2007,Apertura
Fecha 11,11 de abril de 2007,Pereira,2  -  0,Tolima,2007,Apertura
Fecha 12,15 de abril de 2007,Millonarios,0  -  1,Atlético Nacional,2007,Apertura
Fecha 12,15 de abril de 2007,Cartagena,1  -  1,Pereira,2007,Apertura
Fecha 12,15 de abril de 2007,Medellín,1  -  3,Huila,2007,Apertura
Fecha 12,15 de abril de 2007,Cúcuta,3  -  1,La Equidad,2007,Apertura
Fecha 12,15 de abril de 2007,Once Caldas,1  -  0,Boyacá Chicó,2007,Apertura
Fecha 12,15 de abril de 2007,Quindío,1  -  1,Bucaramanga,2007,Apertura
Fecha 12,15 de abril de 2007,Pasto,2  -  2,América de Cali,2007,Apertura
Fecha 12,15 de abril de 2007,Tolima,2  -  1,Junior,2007,Apertura
Fecha 12,15 de abril de 2007,Deportivo Cali,1  -  1,Santa Fe,2007,Apertura
Fecha 13,22 de abril de 2007,Santa Fe,3  -  3,Cúcuta,2007,Apertura
Fecha 13,22 de abril de 2007,Atlético Nacional,1  -  0,Tolima,2007,Apertura
Fecha 13,22 de abril de 2007,Pereira,0  -  1,Junior,2007,Apertura
Fecha 13,22 de abril de 2007,Cartagena,2  -  2,Medellín,2007,Apertura
Fecha 13,22 de abril de 2007,Huila,1  -  0,Deportivo Cali,2007,Apertura
Fecha 13,22 de abril de 2007,Boyacá Chicó,3  -  0,Quindío,2007,Apertura
Fecha 13,22 de abril de 2007,Bucaramanga,1  -  0,Pasto,2007,Apertura
Fecha 13,22 de abril de 2007,La Equidad,0  -  0,Once Caldas,2007,Apertura
Fecha 13,22 de abril de 2007,América de Cali,2  -  2,Millonarios,2007,Apertura
Fecha 14,25 de abril de 2007,Pasto,1  -  1,Boyacá Chicó,2007,Apertura
Fecha 14,25 de abril de 2007,Millonarios,2  -  1,Bucaramanga,2007,Apertura
Fecha 14,25 de abril de 2007,Cúcuta,2  -  0,Huila,2007,Apertura
Fecha 14,25 de abril de 2007,Medellín,1  -  3,Pereira,2007,Apertura
Fecha 14,25 de abril de 2007,Quindío,0  -  0,La Equidad,2007,Apertura
Fecha 14,25 de abril de 2007,Deportivo Cali,4  -  1,Cartagena,2007,Apertura
Fecha 14,25 de abril de 2007,Junior,2  -  1,Atlético Nacional,2007,Apertura
Fecha 14,25 de abril de 2007,Once Caldas,0  -  1,Santa Fe,2007,Apertura
Fecha 14,25 de abril de 2007,Tolima,6  -  0,América de Cali,2007,Apertura
Fecha 15,29 de abril de 2007,Boyacá Chicó,1  -  0,Millonarios,2007,Apertura
