Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo
Fecha 1,16 de julio de 2006,Atlético Nacional,2  -  1,Cúcuta,2006,Finalización
Fecha 1,16 de julio de 2006,Millonarios,1  -  1,Huila,2006,Finalización
Fecha 1,16 de julio de 2006,Pereira,2  -  1,Pasto,2006,Finalización
Fecha 1,16 de julio de 2006,Bucaramanga,0  -  2,Medellín,2006,Finalización
Fecha 1,16 de julio de 2006,Deportivo Cali,2  -  1,América de Cali,2006,Finalización
Fecha 1,16 de julio de 2006,Envigado,1  -  3,Junior,2006,Finalización
Fecha 1,16 de julio de 2006,Boyacá Chicó,3  -  0,Once Caldas,2006,Finalización
Fecha 1,16 de julio de 2006,Tolima,2  -  0,Santa Fe,2006,Finalización
Fecha 1,16 de julio de 2006,Cartagena,1  -  2,Quindío,2006,Finalización
Fecha 2,23 de julio de 2006,Santa Fe,1  -  1,Boyacá Chicó,2006,Finalización
Fecha 2,23 de julio de 2006,Huila,3  -  2,Tolima,2006,Finalización
Fecha 2,23 de julio de 2006,Once Caldas,1  -  0,Envigado,2006,Finalización
Fecha 2,23 de julio de 2006,Junior,2  -  1,Atlético Nacional,2006,Finalización
Fecha 2,23 de julio de 2006,Cúcuta,1  -  1,Deportivo Cali,2006,Finalización
Fecha 2,23 de julio de 2006,América de Cali,1  -  2,Bucaramanga,2006,Finalización
Fecha 2,23 de julio de 2006,Medellín,1  -  0,Cartagena,2006,Finalización
Fecha 2,23 de julio de 2006,Quindío,2  -  0,Pereira,2006,Finalización
Fecha 2,23 de julio de 2006,Pasto,1  -  0,Millonarios,2006,Finalización
Fecha 3,30 de julio de 2006,Deportivo Cali,0  -  0,Junior,2006,Finalización
Fecha 3,30 de julio de 2006,Huila,1  -  0,Pasto,2006,Finalización
Fecha 3,30 de julio de 2006,Millonarios,1  -  0,Quindío,2006,Finalización
Fecha 3,30 de julio de 2006,Pereira,3  -  1,Medellín,2006,Finalización
Fecha 3,30 de julio de 2006,Bucaramanga,0  -  1,Cúcuta,2006,Finalización
Fecha 3,30 de julio de 2006,Atlético Nacional,3  -  1,Once Caldas,2006,Finalización
Fecha 3,30 de julio de 2006,Envigado,0  -  0,Santa Fe,2006,Finalización
Fecha 3,30 de julio de 2006,Boyacá Chicó,0  -  1,Tolima,2006,Finalización
Fecha 3,30 de julio de 2006,Cartagena,2  -  1,América de Cali,2006,Finalización
Fecha 4,6 de agosto de 2006,Santa Fe,4  -  0,Atlético Nacional,2006,Finalización
Fecha 4,6 de agosto de 2006,Boyacá Chicó,1  -  0,Huila,2006,Finalización
Fecha 4,6 de agosto de 2006,Tolima,1  -  0,Envigado,2006,Finalización
Fecha 4,6 de agosto de 2006,Once Caldas,0  -  2,Deportivo Cali,2006,Finalización
Fecha 4,6 de agosto de 2006,Junior,2  -  2,Bucaramanga,2006,Finalización
Fecha 4,6 de agosto de 2006,Cúcuta,1  -  1,Cartagena,2006,Finalización
Fecha 4,6 de agosto de 2006,América de Cali,0  -  2,Pereira,2006,Finalización
Fecha 4,6 de agosto de 2006,Medellín,1  -  0,Millonarios,2006,Finalización
Fecha 4,6 de agosto de 2006,Quindío,2  -  1,Pasto,2006,Finalización
Fecha 5,13 de agosto de 2006,Nacional,1  -  1,Tolima,2006,Finalización
Fecha 5,13 de agosto de 2006,Huila,4  -  1,Quindío,2006,Finalización
Fecha 5,13 de agosto de 2006,Pasto,3  -  0,Medellín,2006,Finalización
Fecha 5,13 de agosto de 2006,Millonarios,1  -  0,América de Cali,2006,Finalización
Fecha 5,13 de agosto de 2006,Pereira,0  -  1,Cúcuta,2006,Finalización
Fecha 5,13 de agosto de 2006,Cartagena,1  -  0,Junior,2006,Finalización
Fecha 5,13 de agosto de 2006,Bucaramanga,2  -  0,Once Caldas,2006,Finalización
Fecha 5,13 de agosto de 2006,Deportivo Cali,3  -  2,Santa Fe,2006,Finalización
Fecha 5,13 de agosto de 2006,Envigado,1  -  2,Boyacá Chicó,2006,Finalización
Fecha 6,20 de agosto de 2006,Tolima,1  -  1,Deportivo Cali,2006,Finalización
Fecha 6,20 de agosto de 2006,Envigado,2  -  0,Huila,2006,Finalización
Fecha 6,20 de agosto de 2006,Boyacá Chicó,0  -  1,Atlético Nacional,2006,Finalización
Fecha 6,20 de agosto de 2006,Santa Fe,4  -  2,Bucaramanga,2006,Finalización
